batch_id,delivery_item_id,po_item_id,product_id,supplier_id,warehouse_id,received_date,quantity_received,purchase_unit_price,quantity_remaining
BAT0000001,DELI0000001,POI000001,PROD047,SUP005,WH001,2025-02-20,154,52.98,0
BAT0000002,DELI0000002,POI000002,PROD040,SUP014,WH004,2025-07-11,32,83.16,32
BAT0000003,DELI0000003,POI000002,PROD040,SUP014,WH005,2025-07-15,28,83.16,28
BAT0000004,DELI0000004,POI000002,PROD040,SUP014,WH005,2025-07-15,18,83.16,18
BAT0000005,DELI0000005,POI000003,PROD005,SUP006,WH001,2025-07-21,70,17.15,70
BAT0000006,DELI0000006,POI000004,PROD047,SUP006,WH005,2025-07-21,59,54.71,59
BAT0000007,DELI0000007,POI000005,PROD018,SUP007,WH002,2025-08-11,129,15.29,129
BAT0000008,DELI0000008,POI000006,PROD044,SUP007,WH001,2025-08-11,165,42.83,165
BAT0000009,DELI0000009,POI000007,PROD004,SUP007,WH005,2025-08-11,82,90.08,82
BAT0000010,DELI0000010,POI000008,PROD031,SUP009,WH002,2025-06-08,119,96.89,119
BAT0000011,DELI0000011,POI000008,PROD031,SUP009,WH004,2025-06-15,84,96.89,84
BAT0000012,DELI0000012,POI000009,PROD035,SUP007,WH005,2025-08-24,37,58.2,37
BAT0000013,DELI0000013,POI000010,PROD041,SUP007,WH002,2025-08-24,71,55.89,71
BAT0000014,DELI0000014,POI000009,PROD035,SUP007,WH005,2025-08-28,13,58.2,13
BAT0000015,DELI0000015,POI000010,PROD041,SUP007,WH005,2025-08-28,17,55.89,17
BAT0000016,DELI0000016,POI000009,PROD035,SUP007,WH001,2025-08-31,12,58.2,12
BAT0000017,DELI0000017,POI000010,PROD041,SUP007,WH005,2025-08-31,34,55.89,34
BAT0000018,DELI0000018,POI000011,PROD020,SUP015,WH004,2025-04-04,99,74.73,99
BAT0000019,DELI0000019,POI000012,PROD021,SUP015,WH005,2025-04-04,161,96.4,161
BAT0000020,DELI0000020,POI000013,PROD031,SUP013,WH005,2025-04-17,49,84.51,49
BAT0000021,DELI0000021,POI000013,PROD031,SUP013,WH003,2025-04-26,101,84.51,101
BAT0000022,DELI0000022,POI000014,PROD033,SUP014,WH002,2025-08-20,142,45.14,142
BAT0000023,DELI0000023,POI000015,PROD048,SUP014,WH003,2025-08-20,185,39.74,185
BAT0000024,DELI0000024,POI000016,PROD006,SUP012,WH003,2025-09-01,41,111.18,41
BAT0000025,DELI0000025,POI000017,PROD023,SUP012,WH004,2025-09-01,201,120.32,201
BAT0000026,DELI0000026,POI000018,PROD022,SUP008,WH003,2025-05-05,170,51.23,170
BAT0000027,DELI0000027,POI000019,PROD041,SUP008,WH004,2025-05-05,97,62.84,0
BAT0000028,DELI0000028,POI000020,PROD030,SUP011,WH001,2025-09-14,95,91.4,85
BAT0000029,DELI0000029,POI000020,PROD030,SUP011,WH001,2025-09-22,29,91.4,29
BAT0000030,DELI0000030,POI000020,PROD030,SUP011,WH004,2025-09-22,65,91.4,65
BAT0000031,DELI0000031,POI000021,PROD021,SUP008,WH005,2025-04-14,174,102.03,174
BAT0000032,DELI0000032,POI000022,PROD045,SUP010,WH001,2025-01-30,107,100.68,0
BAT0000033,DELI0000033,POI000022,PROD045,SUP010,WH005,2025-02-08,18,100.68,0
BAT0000034,DELI0000034,POI000022,PROD045,SUP010,WH002,2025-02-08,34,100.68,0
BAT0000035,DELI0000035,POI000023,PROD028,SUP013,WH003,2025-12-01,29,12.68,29
BAT0000036,DELI0000036,POI000024,PROD013,SUP013,WH002,2025-12-01,77,89.27,77
BAT0000037,DELI0000037,POI000023,PROD028,SUP013,WH003,2025-12-06,23,12.68,23
BAT0000038,DELI0000038,POI000024,PROD013,SUP013,WH001,2025-12-06,82,89.27,82
BAT0000039,DELI0000039,POI000023,PROD028,SUP013,WH002,2025-12-11,23,12.68,23
BAT0000040,DELI0000040,POI000024,PROD013,SUP013,WH003,2025-12-11,60,89.27,60
BAT0000041,DELI0000041,POI000025,PROD022,SUP015,WH002,2025-10-21,23,45.14,23
BAT0000042,DELI0000042,POI000025,PROD022,SUP015,WH004,2025-10-23,21,45.14,21
BAT0000043,DELI0000043,POI000025,PROD022,SUP015,WH005,2025-10-30,11,45.14,11
BAT0000044,DELI0000044,POI000026,PROD016,SUP004,WH003,2025-06-12,35,31.48,35
BAT0000045,DELI0000045,POI000026,PROD016,SUP004,WH005,2025-06-12,31,31.48,31
BAT0000046,DELI0000046,POI000027,PROD043,SUP012,WH005,2025-08-04,181,79.82,181
BAT0000047,DELI0000047,POI000028,PROD006,SUP012,WH001,2025-08-04,159,127.34,159
BAT0000048,DELI0000048,POI000029,PROD017,SUP006,WH005,2025-12-31,116,72.96,116
BAT0000049,DELI0000049,POI000029,PROD017,SUP006,WH003,2026-01-05,36,72.96,36
BAT0000050,DELI0000050,POI000029,PROD017,SUP006,WH001,2026-01-08,55,72.96,55
BAT0000051,DELI0000051,POI000030,PROD048,SUP008,WH003,2025-04-28,198,41.86,198
BAT0000052,DELI0000052,POI000031,PROD009,SUP014,WH001,2025-03-18,62,21.3,62
BAT0000053,DELI0000053,POI000031,PROD009,SUP014,WH005,2025-03-23,76,21.3,76
BAT0000054,DELI0000054,POI000031,PROD009,SUP014,WH002,2025-03-23,66,21.3,66
BAT0000055,DELI0000055,POI000032,PROD005,SUP002,WH003,2025-11-18,68,20.22,68
BAT0000056,DELI0000056,POI000032,PROD005,SUP002,WH005,2025-11-19,33,20.22,33
BAT0000057,DELI0000057,POI000032,PROD005,SUP002,WH002,2025-11-23,71,20.22,71
BAT0000058,DELI0000058,POI000033,PROD032,SUP001,WH003,2025-07-10,59,102.4,59
BAT0000059,DELI0000059,POI000034,PROD006,SUP012,WH003,2026-01-11,109,126.7,109
BAT0000060,DELI0000060,POI000035,PROD030,SUP012,WH005,2026-01-11,92,88.6,92
BAT0000061,DELI0000061,POI000034,PROD006,SUP012,WH004,2026-01-16,59,126.7,59
BAT0000062,DELI0000062,POI000035,PROD030,SUP012,WH003,2026-01-16,21,88.6,21
BAT0000063,DELI0000063,POI000034,PROD006,SUP012,WH001,2026-01-16,48,126.7,48
BAT0000064,DELI0000064,POI000035,PROD030,SUP012,WH001,2026-01-16,31,88.6,31
BAT0000065,DELI0000065,POI000036,PROD008,SUP003,WH004,2025-03-28,41,95.39,41
BAT0000066,DELI0000066,POI000036,PROD008,SUP003,WH003,2025-03-29,59,95.39,59
BAT0000067,DELI0000067,POI000037,PROD041,SUP008,WH001,2026-01-30,41,58.5,41
BAT0000068,DELI0000068,POI000038,PROD029,SUP008,WH003,2026-01-30,125,26.56,125
BAT0000069,DELI0000069,POI000037,PROD041,SUP008,WH002,2026-02-06,37,58.5,37
BAT0000070,DELI0000070,POI000038,PROD029,SUP008,WH003,2026-02-06,30,26.56,30
BAT0000071,DELI0000071,POI000037,PROD041,SUP008,WH002,2026-02-11,21,58.5,21
BAT0000072,DELI0000072,POI000038,PROD029,SUP008,WH004,2026-02-11,57,26.56,57
BAT0000073,DELI0000073,POI000039,PROD021,SUP008,WH004,2025-10-14,82,88.03,82
BAT0000074,DELI0000074,POI000039,PROD021,SUP008,WH005,2025-10-18,20,88.03,20
BAT0000075,DELI0000075,POI000039,PROD021,SUP008,WH001,2025-10-31,32,88.03,32
BAT0000076,DELI0000076,POI000040,PROD043,SUP010,WH001,2025-03-24,87,89.41,87
BAT0000077,DELI0000077,POI000040,PROD043,SUP010,WH002,2025-03-29,54,89.41,54
BAT0000078,DELI0000078,POI000041,PROD015,SUP010,WH001,2025-09-01,181,54.06,181
BAT0000079,DELI0000079,POI000042,PROD040,SUP013,WH005,2025-11-06,72,91.29,72
BAT0000080,DELI0000080,POI000042,PROD040,SUP013,WH005,2025-11-10,99,91.29,99
BAT0000081,DELI0000081,POI000043,PROD045,SUP010,WH004,2025-02-21,118,100.87,113
BAT0000082,DELI0000082,POI000044,PROD002,SUP012,WH001,2025-07-07,69,56.88,69
BAT0000083,DELI0000083,POI000045,PROD042,SUP012,WH003,2025-07-07,54,107.7,54
BAT0000084,DELI0000084,POI000044,PROD002,SUP012,WH003,2025-06-23,27,56.88,27
