customer_id,customer_name,customer_segment,region
CUST001,Customer 001,B2C,Central
CUST002,Customer 002,Wholesale,East
CUST003,Customer 003,Wholesale,East
CUST004,Customer 004,B2C,East
CUST005,Customer 005,Retail,West
CUST006,Customer 006,Retail,Central
CUST007,Customer 007,B2C,North
CUST008,Customer 008,B2C,West
CUST009,Customer 009,Wholesale,South
CUST010,Customer 010,Retail,North
CUST011,Customer 011,B2C,East
CUST012,Customer 012,B2B,West
CUST013,Customer 013,B2B,East
CUST014,Customer 014,Wholesale,East
CUST015,Customer 015,B2B,West
CUST016,Customer 016,Retail,West
CUST017,Customer 017,Wholesale,South
CUST018,Customer 018,Wholesale,West
CUST019,Customer 019,Retail,West
CUST020,Customer 020,B2C,North
CUST021,Customer 021,Retail,North
CUST022,Customer 022,Wholesale,North
CUST023,Customer 023,Wholesale,East
CUST024,Customer 024,B2C,West
CUST025,Customer 025,Wholesale,Central
CUST026,Customer 026,B2B,Central
CUST027,Customer 027,B2C,West
CUST028,Customer 028,Wholesale,North
CUST029,Customer 029,B2B,South
CUST030,Customer 030,Wholesale,North
CUST031,Customer 031,Wholesale,North
CUST032,Customer 032,Retail,North
CUST033,Customer 033,B2B,Central
CUST034,Customer 034,Retail,East
CUST035,Customer 035,B2B,East
CUST036,Customer 036,Wholesale,West
CUST037,Customer 037,Wholesale,Central
CUST038,Customer 038,Retail,North
CUST039,Customer 039,B2C,North
CUST040,Customer 040,B2B,East
CUST041,Customer 041,B2C,West
CUST042,Customer 042,Retail,West
CUST043,Customer 043,B2B,North
CUST044,Customer 044,Retail,South
CUST045,Customer 045,B2B,Central
CUST046,Customer 046,Retail,East
CUST047,Customer 047,B2C,Central
CUST048,Customer 048,B2C,North
CUST049,Customer 049,B2B,Central
CUST050,Customer 050,Wholesale,Central
CUST051,Customer 051,B2C,West
CUST052,Customer 052,Wholesale,North
CUST053,Customer 053,B2C,East
CUST054,Customer 054,Wholesale,West
CUST055,Customer 055,B2C,East
CUST056,Customer 056,Wholesale,East
CUST057,Customer 057,Wholesale,North
CUST058,Customer 058,Wholesale,Central
CUST059,Customer 059,B2C,West
CUST060,Customer 060,B2B,East
CUST061,Customer 061,B2B,North
CUST062,Customer 062,B2C,North
CUST063,Customer 063,B2C,Central
CUST064,Customer 064,B2B,Central
CUST065,Customer 065,B2C,Central
CUST066,Customer 066,B2B,East
CUST067,Customer 067,B2B,North
CUST068,Customer 068,B2C,East
CUST069,Customer 069,Wholesale,West
CUST070,Customer 070,B2C,North
CUST071,Customer 071,Wholesale,West
CUST072,Customer 072,Wholesale,South
CUST073,Customer 073,B2C,Central
CUST074,Customer 074,B2B,South
CUST075,Customer 075,Retail,South
CUST076,Customer 076,Wholesale,South
CUST077,Customer 077,B2B,Central
CUST078,Customer 078,B2B,South
CUST079,Customer 079,Retail,Central
CUST080,Customer 080,B2C,West
CUST081,Customer 081,B2C,North
CUST082,Customer 082,Wholesale,West
CUST083,Customer 083,Wholesale,West
CUST084,Customer 084,Retail,South
CUST085,Customer 085,B2C,Central
CUST086,Customer 086,Wholesale,North
CUST087,Customer 087,B2B,Central
CUST088,Customer 088,B2B,Central
CUST089,Customer 089,B2C,West
CUST090,Customer 090,Wholesale,South
CUST091,Customer 091,Wholesale,West
CUST092,Customer 092,Wholesale,Central
CUST093,Customer 093,B2C,South
CUST094,Customer 094,B2B,South
CUST095,Customer 095,Retail,South
CUST096,Customer 096,Retail,South
CUST097,Customer 097,Wholesale,West
CUST098,Customer 098,B2C,East
CUST099,Customer 099,B2C,Central
CUST100,Customer 100,B2B,East
