delivery_id,supplier_id,channel_id,dispatch_date,expected_arrival_date,actual_arrival_date,delay_days,transportation_cost
DEL000001,SUP005,CH001,2025-02-10,2025-02-20,2025-02-20,0,249.31
DEL000002,SUP014,CH002,2025-06-13,2025-07-11,2025-07-11,0,293.28
DEL000003,SUP014,CH002,2025-06-17,2025-07-15,2025-07-15,0,1091.25
DEL000004,SUP014,CH002,2025-06-17,2025-07-15,2025-07-15,0,850.22
DEL000005,SUP006,CH005,2025-07-14,2025-07-21,2025-07-21,0,1001.67
DEL000006,SUP007,CH003,2025-08-01,2025-08-04,2025-08-11,7,388.81
DEL000007,SUP009,CH003,2025-06-05,2025-06-08,2025-06-08,0,1446.0
DEL000008,SUP009,CH003,2025-06-12,2025-06-15,2025-06-15,0,354.23
DEL000009,SUP007,CH002,2025-07-27,2025-08-24,2025-08-24,0,1570.58
DEL000010,SUP007,CH002,2025-07-31,2025-08-28,2025-08-28,0,1134.56
DEL000011,SUP007,CH002,2025-08-03,2025-08-31,2025-08-31,0,266.58
DEL000012,SUP015,CH005,2025-03-28,2025-04-04,2025-04-04,0,1129.7
DEL000013,SUP013,CH002,2025-03-20,2025-04-17,2025-04-17,0,1452.38
DEL000014,SUP013,CH002,2025-03-29,2025-04-26,2025-04-26,0,985.13
DEL000015,SUP014,CH002,2025-07-23,2025-08-20,2025-08-20,0,234.58
DEL000016,SUP012,CH005,2025-08-25,2025-09-01,2025-09-01,0,649.97
DEL000017,SUP008,CH003,2025-04-27,2025-04-30,2025-05-05,5,1087.76
DEL000018,SUP011,CH005,2025-09-07,2025-09-14,2025-09-14,0,665.47
DEL000019,SUP011,CH005,2025-09-15,2025-09-22,2025-09-22,0,463.37
DEL000020,SUP011,CH005,2025-09-15,2025-09-22,2025-09-22,0,1787.8
DEL000021,SUP008,CH002,2025-03-17,2025-04-14,2025-04-14,0,705.49
DEL000022,SUP010,CH004,2025-01-12,2025-01-30,2025-01-30,0,619.94
DEL000023,SUP010,CH004,2025-01-21,2025-02-08,2025-02-08,0,1529.78
DEL000024,SUP010,CH004,2025-01-21,2025-02-08,2025-02-08,0,1159.01
DEL000025,SUP013,CH005,2025-11-24,2025-12-01,2025-12-01,0,222.3
DEL000026,SUP013,CH005,2025-11-29,2025-12-06,2025-12-06,0,394.93
DEL000027,SUP013,CH005,2025-12-04,2025-12-11,2025-12-11,0,1486.6
DEL000028,SUP015,CH002,2025-09-23,2025-10-21,2025-10-21,0,836.13
DEL000029,SUP015,CH002,2025-09-25,2025-10-23,2025-10-23,0,1260.58
DEL000030,SUP015,CH002,2025-10-02,2025-10-30,2025-10-30,0,239.78
DEL000031,SUP004,CH002,2025-05-15,2025-06-12,2025-06-12,0,1745.97
DEL000032,SUP004,CH002,2025-05-15,2025-06-12,2025-06-12,0,1486.98
DEL000033,SUP012,CH004,2025-07-17,2025-08-04,2025-08-04,0,1049.23
DEL000034,SUP006,CH003,2025-12-28,2025-12-31,2025-12-31,0,881.41
DEL000035,SUP006,CH003,2026-01-02,2026-01-05,2026-01-05,0,926.24
DEL000036,SUP006,CH003,2026-01-05,2026-01-08,2026-01-08,0,1506.51
DEL000037,SUP008,CH005,2025-04-21,2025-04-28,2025-04-28,0,696.54
DEL000038,SUP014,CH003,2025-03-09,2025-03-12,2025-03-18,6,384.78
DEL000039,SUP014,CH003,2025-03-17,2025-03-20,2025-03-23,3,285.41
DEL000040,SUP014,CH003,2025-03-20,2025-03-23,2025-03-23,0,708.79
DEL000041,SUP002,CH001,2025-11-08,2025-11-18,2025-11-18,0,578.79
DEL000042,SUP002,CH001,2025-11-09,2025-11-19,2025-11-19,0,866.02
DEL000043,SUP002,CH001,2025-11-13,2025-11-23,2025-11-23,0,362.68
DEL000044,SUP001,CH003,2025-06-22,2025-06-25,2025-07-10,15,1549.72
DEL000045,SUP012,CH001,2026-01-01,2026-01-11,2026-01-11,0,1057.71
DEL000046,SUP012,CH001,2026-01-06,2026-01-16,2026-01-16,0,816.14
DEL000047,SUP012,CH001,2026-01-06,2026-01-16,2026-01-16,0,867.02
DEL000048,SUP003,CH004,2025-03-10,2025-03-28,2025-03-28,0,1297.19
DEL000049,SUP003,CH004,2025-03-11,2025-03-29,2025-03-29,0,1666.16
DEL000050,SUP008,CH005,2026-01-23,2026-01-30,2026-01-30,0,1212.67
DEL000051,SUP008,CH005,2026-01-30,2026-02-06,2026-02-06,0,1311.68
DEL000052,SUP008,CH005,2026-02-04,2026-02-11,2026-02-11,0,1361.15
DEL000053,SUP008,CH003,2025-10-11,2025-10-14,2025-10-14,0,1149.89
DEL000054,SUP008,CH003,2025-10-15,2025-10-18,2025-10-18,0,1713.64
DEL000055,SUP008,CH003,2025-10-18,2025-10-21,2025-10-31,10,1185.87
DEL000056,SUP010,CH003,2025-03-21,2025-03-24,2025-03-24,0,1422.28
DEL000057,SUP010,CH003,2025-03-26,2025-03-29,2025-03-29,0,1689.98
DEL000058,SUP010,CH004,2025-08-14,2025-09-01,2025-09-01,0,1438.91
DEL000059,SUP013,CH005,2025-10-30,2025-11-06,2025-11-06,0,782.71
DEL000060,SUP013,CH005,2025-11-03,2025-11-10,2025-11-10,0,436.45
DEL000061,SUP010,CH005,2025-02-14,2025-02-21,2025-02-21,0,1697.82
DEL000062,SUP012,CH003,2025-06-19,2025-06-22,2025-07-07,15,1560.85
DEL000063,SUP012,CH003,2025-06-20,2025-06-23,2025-06-23,0,219.68
DEL000064,SUP012,CH003,2025-06-25,2025-06-28,2025-06-28,0,933.68
DEL000065,SUP006,CH004,2025-05-26,2025-06-13,2025-06-13,0,654.25
DEL000066,SUP006,CH004,2025-06-02,2025-06-20,2025-06-20,0,1265.1
DEL000067,SUP006,CH004,2025-06-05,2025-06-23,2025-07-07,14,585.32
DEL000068,SUP014,CH002,2025-07-30,2025-08-27,2025-08-30,3,282.65
DEL000069,SUP014,CH002,2025-08-03,2025-08-31,2025-08-31,0,291.57
DEL000070,SUP014,CH002,2025-08-03,2025-08-31,2025-08-31,0,1316.99
DEL000071,SUP013,CH005,2026-01-09,2026-01-16,2026-01-16,0,1561.81
DEL000072,SUP009,CH001,2025-12-08,2025-12-18,2025-12-18,0,1178.47
DEL000073,SUP005,CH003,2025-08-25,2025-08-28,2025-08-28,0,477.0
DEL000074,SUP013,CH002,2025-06-20,2025-07-18,2025-07-18,0,432.21
DEL000075,SUP013,CH002,2025-06-26,2025-07-24,2025-07-24,0,1319.64
DEL000076,SUP007,CH001,2025-05-01,2025-05-11,2025-05-11,0,958.67
DEL000077,SUP007,CH001,2025-05-07,2025-05-17,2025-05-17,0,687.53
DEL000078,SUP013,CH005,2025-03-06,2025-03-13,2025-03-13,0,1141.29
DEL000079,SUP008,CH002,2025-09-30,2025-10-28,2025-10-28,0,1323.2
DEL000080,SUP008,CH002,2025-10-07,2025-11-04,2025-11-04,0,1459.89
DEL000081,SUP007,CH005,2025-06-10,2025-06-17,2025-06-17,0,1673.69
DEL000082,SUP007,CH005,2025-06-14,2025-06-21,2025-06-21,0,703.12
DEL000083,SUP002,CH002,2025-08-24,2025-09-21,2025-09-21,0,288.91
DEL000084,SUP006,CH005,2025-02-07,2025-02-14,2025-02-14,0,223.49
DEL000085,SUP006,CH005,2025-02-14,2025-02-21,2025-02-21,0,445.78
DEL000086,SUP006,CH005,2025-02-19,2025-02-26,2025-02-26,0,783.87
DEL000087,SUP009,CH003,2025-08-17,2025-08-20,2025-08-20,0,1328.65
DEL000088,SUP009,CH003,2025-08-25,2025-08-28,2025-09-08,11,534.49
DEL000089,SUP006,CH003,2025-12-14,2025-12-17,2025-12-17,0,1784.51
DEL000090,SUP006,CH003,2025-12-16,2025-12-19,2025-12-19,0,328.08
DEL000091,SUP006,CH003,2025-12-19,2025-12-22,2025-12-31,9,489.48
DEL000092,SUP001,CH004,2025-04-23,2025-05-11,2025-05-11,0,984.32
DEL000093,SUP001,CH004,2025-04-30,2025-05-18,2025-05-27,9,589.87
DEL000094,SUP008,CH003,2026-01-20,2026-01-23,2026-01-23,0,292.97
DEL000095,SUP008,CH003,2026-01-24,2026-01-27,2026-01-27,0,1551.17
DEL000096,SUP005,CH005,2025-09-04,2025-09-11,2025-09-11,0,1139.4
DEL000097,SUP005,CH005,2025-09-09,2025-09-16,2025-09-16,0,998.11
DEL000098,SUP005,CH005,2025-09-13,2025-09-20,2025-09-20,0,1667.74
