delivery_item_id,delivery_id,po_item_id,product_id,quantity
DELI0000001,DEL000001,POI000001,PROD047,154
DELI0000002,DEL000002,POI000002,PROD040,32
DELI0000003,DEL000003,POI000002,PROD040,28
DELI0000004,DEL000004,POI000002,PROD040,18
DELI0000005,DEL000005,POI000003,PROD005,70
DELI0000006,DEL000005,POI000004,PROD047,59
DELI0000007,DEL000006,POI000005,PROD018,129
DELI0000008,DEL000006,POI000006,PROD044,165
DELI0000009,DEL000006,POI000007,PROD004,82
DELI0000010,DEL000007,POI000008,PROD031,119
DELI0000011,DEL000008,POI000008,PROD031,84
DELI0000012,DEL000009,POI000009,PROD035,37
DELI0000013,DEL000009,POI000010,PROD041,71
DELI0000014,DEL000010,POI000009,PROD035,13
DELI0000015,DEL000010,POI000010,PROD041,17
DELI0000016,DEL000011,POI000009,PROD035,12
DELI0000017,DEL000011,POI000010,PROD041,34
DELI0000018,DEL000012,POI000011,PROD020,99
DELI0000019,DEL000012,POI000012,PROD021,161
DELI0000020,DEL000013,POI000013,PROD031,49
DELI0000021,DEL000014,POI000013,PROD031,101
DELI0000022,DEL000015,POI000014,PROD033,142
DELI0000023,DEL000015,POI000015,PROD048,185
DELI0000024,DEL000016,POI000016,PROD006,41
DELI0000025,DEL000016,POI000017,PROD023,201
DELI0000026,DEL000017,POI000018,PROD022,170
DELI0000027,DEL000017,POI000019,PROD041,97
DELI0000028,DEL000018,POI000020,PROD030,95
DELI0000029,DEL000019,POI000020,PROD030,29
DELI0000030,DEL000020,POI000020,PROD030,65
DELI0000031,DEL000021,POI000021,PROD021,174
DELI0000032,DEL000022,POI000022,PROD045,107
DELI0000033,DEL000023,POI000022,PROD045,18
DELI0000034,DEL000024,POI000022,PROD045,34
DELI0000035,DEL000025,POI000023,PROD028,29
DELI0000036,DEL000025,POI000024,PROD013,77
DELI0000037,DEL000026,POI000023,PROD028,23
DELI0000038,DEL000026,POI000024,PROD013,82
DELI0000039,DEL000027,POI000023,PROD028,23
DELI0000040,DEL000027,POI000024,PROD013,60
DELI0000041,DEL000028,POI000025,PROD022,23
DELI0000042,DEL000029,POI000025,PROD022,21
DELI0000043,DEL000030,POI000025,PROD022,11
DELI0000044,DEL000031,POI000026,PROD016,35
DELI0000045,DEL000032,POI000026,PROD016,31
DELI0000046,DEL000033,POI000027,PROD043,181
DELI0000047,DEL000033,POI000028,PROD006,159
DELI0000048,DEL000034,POI000029,PROD017,116
DELI0000049,DEL000035,POI000029,PROD017,36
DELI0000050,DEL000036,POI000029,PROD017,55
DELI0000051,DEL000037,POI000030,PROD048,198
DELI0000052,DEL000038,POI000031,PROD009,62
DELI0000053,DEL000039,POI000031,PROD009,76
DELI0000054,DEL000040,POI000031,PROD009,66
DELI0000055,DEL000041,POI000032,PROD005,68
DELI0000056,DEL000042,POI000032,PROD005,33
DELI0000057,DEL000043,POI000032,PROD005,71
DELI0000058,DEL000044,POI000033,PROD032,59
DELI0000059,DEL000045,POI000034,PROD006,109
DELI0000060,DEL000045,POI000035,PROD030,92
DELI0000061,DEL000046,POI000034,PROD006,59
DELI0000062,DEL000046,POI000035,PROD030,21
DELI0000063,DEL000047,POI000034,PROD006,48
DELI0000064,DEL000047,POI000035,PROD030,31
DELI0000065,DEL000048,POI000036,PROD008,41
DELI0000066,DEL000049,POI000036,PROD008,59
DELI0000067,DEL000050,POI000037,PROD041,41
DELI0000068,DEL000050,POI000038,PROD029,125
DELI0000069,DEL000051,POI000037,PROD041,37
DELI0000070,DEL000051,POI000038,PROD029,30
DELI0000071,DEL000052,POI000037,PROD041,21
DELI0000072,DEL000052,POI000038,PROD029,57
DELI0000073,DEL000053,POI000039,PROD021,82
