event_id,object_id,object_type
EV000001,PO00001,Purchase Order
EV000001,SUP005,Supplier
EV000002,PO00001,Purchase Order
EV000003,PO00001,Purchase Order
EV000003,POI000001,PO Item
EV000003,PROD047,Product
EV000004,DEL000001,Delivery
EV000004,PO00001,Purchase Order
EV000004,SUP005,Supplier
EV000004,CH001,Supply Channel
EV000005,DEL000001,Delivery
EV000005,POI000001,PO Item
EV000005,PROD047,Product
EV000005,BAT0000001,Batch
EV000005,WH001,Warehouse
EV000005,SUP005,Supplier
EV000006,BAT0000001,Batch
EV000006,PROD047,Product
EV000006,WH001,Warehouse
EV000007,PO00002,Purchase Order
EV000007,SUP014,Supplier
EV000008,PO00002,Purchase Order
EV000009,PO00002,Purchase Order
EV000009,POI000002,PO Item
EV000009,PROD040,Product
EV000010,DEL000002,Delivery
EV000010,PO00002,Purchase Order
EV000010,SUP014,Supplier
EV000010,CH002,Supply Channel
EV000011,DEL000002,Delivery
EV000011,POI000002,PO Item
EV000011,PROD040,Product
EV000011,BAT0000002,Batch
EV000011,WH004,Warehouse
EV000011,SUP014,Supplier
EV000012,BAT0000002,Batch
EV000012,PROD040,Product
EV000012,WH004,Warehouse
EV000013,DEL000003,Delivery
EV000013,PO00002,Purchase Order
EV000013,SUP014,Supplier
EV000013,CH002,Supply Channel
EV000014,DEL000003,Delivery
EV000014,POI000002,PO Item
EV000014,PROD040,Product
EV000014,BAT0000003,Batch
EV000014,WH005,Warehouse
EV000014,SUP014,Supplier
EV000015,BAT0000003,Batch
EV000015,PROD040,Product
EV000015,WH005,Warehouse
EV000016,DEL000004,Delivery
EV000016,PO00002,Purchase Order
EV000016,SUP014,Supplier
EV000016,CH002,Supply Channel
EV000017,DEL000004,Delivery
EV000017,POI000002,PO Item
EV000017,PROD040,Product
EV000017,BAT0000004,Batch
EV000017,WH005,Warehouse
EV000017,SUP014,Supplier
EV000018,BAT0000004,Batch
EV000018,PROD040,Product
EV000018,WH005,Warehouse
EV000019,PO00003,Purchase Order
EV000019,SUP006,Supplier
EV000020,PO00003,Purchase Order
EV000021,PO00003,Purchase Order
EV000021,POI000003,PO Item
EV000021,PROD005,Product
EV000022,PO00003,Purchase Order
EV000022,POI000004,PO Item
EV000022,PROD047,Product
EV000023,DEL000005,Delivery
EV000023,PO00003,Purchase Order
EV000023,SUP006,Supplier
EV000023,CH005,Supply Channel
EV000024,DEL000005,Delivery
EV000024,POI000003,PO Item
EV000024,PROD005,Product
EV000024,BAT0000005,Batch
EV000024,WH001,Warehouse
EV000024,SUP006,Supplier
EV000025,BAT0000005,Batch
EV000025,PROD005,Product
EV000025,WH001,Warehouse
EV000026,DEL000005,Delivery
EV000026,POI000004,PO Item
EV000026,PROD047,Product
EV000026,BAT0000006,Batch
EV000026,WH005,Warehouse
EV000026,SUP006,Supplier
EV000027,BAT0000006,Batch
