event_id,timestamp,activity
EV001832,2025-01-01 00:00:00,Create Purchase Order
EV001833,2025-01-01 04:00:00,Approve Purchase Order
EV002592,2025-01-02 00:00:00,Create Purchase Order
EV005269,2025-01-02 00:00:00,Create Purchase Order
EV001834,2025-01-02 00:00:00,Add PO Item
EV002593,2025-01-02 04:00:00,Approve Purchase Order
EV005270,2025-01-02 04:00:00,Approve Purchase Order
EV000744,2025-01-03 00:00:00,Create Purchase Order
EV005271,2025-01-03 00:00:00,Add PO Item
EV002594,2025-01-03 00:00:00,Add PO Item
EV000745,2025-01-03 04:00:00,Approve Purchase Order
EV000746,2025-01-04 00:00:00,Add PO Item
EV003315,2025-01-05 00:00:00,Create Purchase Order
EV003316,2025-01-05 04:00:00,Approve Purchase Order
EV005272,2025-01-06 00:00:00,Dispatch Delivery
EV003317,2025-01-06 00:00:00,Add PO Item
EV003318,2025-01-06 00:00:00,Add PO Item
EV003802,2025-01-06 00:00:00,Create Purchase Order
EV000747,2025-01-06 00:00:00,Dispatch Delivery
EV002978,2025-01-06 00:00:00,Create Purchase Order
EV003803,2025-01-06 04:00:00,Approve Purchase Order
EV002979,2025-01-06 04:00:00,Approve Purchase Order
EV003804,2025-01-07 00:00:00,Add PO Item
EV003285,2025-01-07 00:00:00,Create Purchase Order
EV002980,2025-01-07 00:00:00,Add PO Item
EV003319,2025-01-07 00:00:00,Dispatch Delivery
EV003286,2025-01-07 04:00:00,Approve Purchase Order
EV004810,2025-01-08 00:00:00,Create Purchase Order
EV000780,2025-01-08 00:00:00,Create Purchase Order
EV001467,2025-01-08 00:00:00,Create Purchase Order
EV001835,2025-01-08 00:00:00,Dispatch Delivery
EV003287,2025-01-08 00:00:00,Add PO Item
EV001468,2025-01-08 04:00:00,Approve Purchase Order
EV000781,2025-01-08 04:00:00,Approve Purchase Order
EV004811,2025-01-08 04:00:00,Approve Purchase Order
EV000782,2025-01-09 00:00:00,Add PO Item
EV002595,2025-01-09 00:00:00,Dispatch Delivery
EV005273,2025-01-09 00:00:00,Receive Goods
EV004812,2025-01-09 00:00:00,Add PO Item
EV003805,2025-01-09 00:00:00,Dispatch Delivery
EV001469,2025-01-09 00:00:00,Add PO Item
EV005274,2025-01-09 08:00:00,Put Away
EV000131,2025-01-10 00:00:00,Create Purchase Order
EV004813,2025-01-10 00:00:00,Dispatch Delivery
EV000750,2025-01-10 00:00:00,Dispatch Delivery
EV000783,2025-01-10 00:00:00,Dispatch Delivery
EV001470,2025-01-10 00:00:00,Dispatch Delivery
EV003288,2025-01-10 00:00:00,Dispatch Delivery
EV000132,2025-01-10 04:00:00,Approve Purchase Order
EV000840,2025-01-11 00:00:00,Create Purchase Order
EV000133,2025-01-11 00:00:00,Add PO Item
EV000841,2025-01-11 04:00:00,Approve Purchase Order
EV000134,2025-01-12 00:00:00,Dispatch Delivery
EV002981,2025-01-12 00:00:00,Dispatch Delivery
EV002322,2025-01-12 00:00:00,Create Purchase Order
EV000842,2025-01-12 00:00:00,Add PO Item
EV002598,2025-01-12 00:00:00,Dispatch Delivery
EV002323,2025-01-12 04:00:00,Approve Purchase Order
EV002325,2025-01-13 00:00:00,Add PO Item
EV000753,2025-01-13 00:00:00,Dispatch Delivery
EV003808,2025-01-13 00:00:00,Dispatch Delivery
EV002324,2025-01-13 00:00:00,Add PO Item
EV002722,2025-01-14 00:00:00,Create Purchase Order
EV002326,2025-01-14 00:00:00,Dispatch Delivery
EV004605,2025-01-14 00:00:00,Create Purchase Order
EV002723,2025-01-14 04:00:00,Approve Purchase Order
EV004606,2025-01-14 04:00:00,Approve Purchase Order
EV002984,2025-01-15 00:00:00,Dispatch Delivery
EV004607,2025-01-15 00:00:00,Add PO Item
EV004608,2025-01-15 00:00:00,Add PO Item
EV002725,2025-01-15 00:00:00,Add PO Item
EV002724,2025-01-15 00:00:00,Add PO Item
EV004191,2025-01-15 00:00:00,Create Purchase Order
EV004192,2025-01-15 04:00:00,Approve Purchase Order
EV003324,2025-01-16 00:00:00,Dispatch Delivery
EV000843,2025-01-16 00:00:00,Dispatch Delivery
EV004193,2025-01-16 00:00:00,Add PO Item
EV004816,2025-01-16 00:00:00,Dispatch Delivery
EV002144,2025-01-16 00:00:00,Create Purchase Order
EV002145,2025-01-16 04:00:00,Approve Purchase Order
EV003322,2025-01-17 00:00:00,Receive Goods
EV002146,2025-01-17 00:00:00,Add PO Item
EV004609,2025-01-17 00:00:00,Dispatch Delivery
EV002987,2025-01-17 00:00:00,Dispatch Delivery
EV003320,2025-01-17 00:00:00,Receive Goods
EV003323,2025-01-17 08:00:00,Put Away
EV003321,2025-01-17 08:00:00,Put Away
EV003291,2025-01-18 00:00:00,Dispatch Delivery
EV004194,2025-01-18 00:00:00,Dispatch Delivery
EV002726,2025-01-18 00:00:00,Dispatch Delivery
EV000846,2025-01-18 00:00:00,Dispatch Delivery
EV002596,2025-01-19 00:00:00,Receive Goods
EV001473,2025-01-19 00:00:00,Dispatch Delivery
EV002331,2025-01-19 00:00:00,Dispatch Delivery
EV002597,2025-01-19 08:00:00,Put Away
EV001471,2025-01-20 00:00:00,Receive Goods
EV003632,2025-01-20 00:00:00,Create Purchase Order
EV001476,2025-01-20 00:00:00,Dispatch Delivery
EV003633,2025-01-20 04:00:00,Approve Purchase Order
EV001472,2025-01-20 08:00:00,Put Away
EV000137,2025-01-21 00:00:00,Dispatch Delivery
EV003634,2025-01-21 00:00:00,Add PO Item
EV002832,2025-01-21 00:00:00,Create Purchase Order
EV000140,2025-01-21 00:00:00,Dispatch Delivery
EV000849,2025-01-21 00:00:00,Dispatch Delivery
EV002833,2025-01-21 04:00:00,Approve Purchase Order
EV002599,2025-01-22 00:00:00,Receive Goods
EV002147,2025-01-22 00:00:00,Dispatch Delivery
EV002834,2025-01-22 00:00:00,Add PO Item
EV002011,2025-01-22 00:00:00,Create Purchase Order
EV000729,2025-01-22 00:00:00,Create Purchase Order
EV002012,2025-01-22 04:00:00,Approve Purchase Order
EV000730,2025-01-22 04:00:00,Approve Purchase Order
EV002600,2025-01-22 08:00:00,Put Away
EV003635,2025-01-23 00:00:00,Dispatch Delivery
EV000698,2025-01-23 00:00:00,Create Purchase Order
EV000731,2025-01-23 00:00:00,Add PO Item
EV002013,2025-01-23 00:00:00,Add PO Item
EV002336,2025-01-23 00:00:00,Dispatch Delivery
EV002731,2025-01-23 00:00:00,Dispatch Delivery
EV002150,2025-01-23 00:00:00,Dispatch Delivery
EV000699,2025-01-23 04:00:00,Approve Purchase Order
EV002327,2025-01-24 00:00:00,Receive Goods
EV000732,2025-01-24 00:00:00,Dispatch Delivery
EV002736,2025-01-24 00:00:00,Dispatch Delivery
EV000748,2025-01-24 00:00:00,Receive Goods
EV000702,2025-01-24 00:00:00,Add PO Item
EV000701,2025-01-24 00:00:00,Add PO Item
EV000700,2025-01-24 00:00:00,Add PO Item
EV001130,2025-01-24 00:00:00,Create Purchase Order
EV002329,2025-01-24 00:00:00,Receive Goods
EV001131,2025-01-24 04:00:00,Approve Purchase Order
EV002328,2025-01-24 08:00:00,Put Away
EV000749,2025-01-24 08:00:00,Put Away
EV002330,2025-01-24 08:00:00,Put Away
EV002835,2025-01-25 00:00:00,Dispatch Delivery
EV000703,2025-01-25 00:00:00,Dispatch Delivery
EV004195,2025-01-25 00:00:00,Receive Goods
EV002014,2025-01-25 00:00:00,Dispatch Delivery
EV001132,2025-01-25 00:00:00,Add PO Item
EV004196,2025-01-25 08:00:00,Put Away
EV000844,2025-01-26 00:00:00,Receive Goods
EV003174,2025-01-26 00:00:00,Create Purchase Order
EV002153,2025-01-26 00:00:00,Dispatch Delivery
EV004817,2025-01-26 00:00:00,Receive Goods
EV001836,2025-01-26 00:00:00,Receive Goods
EV003175,2025-01-26 04:00:00,Approve Purchase Order
EV000845,2025-01-26 08:00:00,Put Away
EV004818,2025-01-26 08:00:00,Put Away
EV001837,2025-01-26 08:00:00,Put Away
EV003176,2025-01-27 00:00:00,Add PO Item
EV003005,2025-01-28 00:00:00,Create Purchase Order
EV003638,2025-01-28 00:00:00,Dispatch Delivery
EV000847,2025-01-28 00:00:00,Receive Goods
EV001133,2025-01-28 00:00:00,Dispatch Delivery
EV003329,2025-01-28 00:00:00,Create Purchase Order
EV000751,2025-01-28 00:00:00,Receive Goods
EV003330,2025-01-28 04:00:00,Approve Purchase Order
EV003006,2025-01-28 04:00:00,Approve Purchase Order
EV000752,2025-01-28 08:00:00,Put Away
EV000848,2025-01-28 08:00:00,Put Away
EV001474,2025-01-29 00:00:00,Receive Goods
EV002334,2025-01-29 00:00:00,Receive Goods
EV003331,2025-01-29 00:00:00,Add PO Item
EV003332,2025-01-29 00:00:00,Add PO Item
EV004814,2025-01-29 00:00:00,Receive Goods
EV002332,2025-01-29 00:00:00,Receive Goods
EV003007,2025-01-29 00:00:00,Add PO Item
EV000710,2025-01-29 00:00:00,Dispatch Delivery
EV002017,2025-01-29 00:00:00,Dispatch Delivery
EV004815,2025-01-29 08:00:00,Put Away
EV001475,2025-01-29 08:00:00,Put Away
EV002335,2025-01-29 08:00:00,Put Away
EV002333,2025-01-29 08:00:00,Put Away
EV000135,2025-01-30 00:00:00,Receive Goods
EV002982,2025-01-30 00:00:00,Receive Goods
EV001477,2025-01-30 00:00:00,Receive Goods
EV003636,2025-01-30 00:00:00,Receive Goods
EV001478,2025-01-30 08:00:00,Put Away
EV002983,2025-01-30 08:00:00,Put Away
EV000136,2025-01-30 08:00:00,Put Away
EV003637,2025-01-30 08:00:00,Put Away
EV000850,2025-01-31 00:00:00,Receive Goods
EV002425,2025-01-31 00:00:00,Create Purchase Order
EV000708,2025-01-31 00:00:00,Receive Goods
EV000706,2025-01-31 00:00:00,Receive Goods
EV000754,2025-01-31 00:00:00,Receive Goods
EV000704,2025-01-31 00:00:00,Receive Goods
EV002426,2025-01-31 04:00:00,Approve Purchase Order
EV000851,2025-01-31 08:00:00,Put Away
EV000705,2025-01-31 08:00:00,Put Away
EV000709,2025-01-31 08:00:00,Put Away
EV000707,2025-01-31 08:00:00,Put Away
EV000755,2025-01-31 08:00:00,Put Away
EV003180,2025-02-01 00:00:00,Dispatch Delivery
