po_item_id,po_id,product_id,ordered_quantity,purchase_unit_price
POI000001,PO00001,PROD047,154,52.98
POI000002,PO00002,PROD040,78,83.16
POI000003,PO00003,PROD005,70,17.15
POI000004,PO00003,PROD047,59,54.71
POI000005,PO00004,PROD018,129,15.29
POI000006,PO00004,PROD044,165,42.83
POI000007,PO00004,PROD004,82,90.08
POI000008,PO00005,PROD031,203,96.89
POI000009,PO00006,PROD035,62,58.2
POI000010,PO00006,PROD041,122,55.89
POI000011,PO00007,PROD020,99,74.73
POI000012,PO00007,PROD021,161,96.4
POI000013,PO00008,PROD031,150,84.51
POI000014,PO00009,PROD033,142,45.14
POI000015,PO00009,PROD048,185,39.74
POI000016,PO00010,PROD006,41,111.18
POI000017,PO00010,PROD023,201,120.32
POI000018,PO00011,PROD022,170,51.23
POI000019,PO00011,PROD041,97,62.84
POI000020,PO00012,PROD030,189,91.4
POI000021,PO00013,PROD021,174,102.03
POI000022,PO00014,PROD045,159,100.68
POI000023,PO00015,PROD028,75,12.68
POI000024,PO00015,PROD013,219,89.27
POI000025,PO00016,PROD022,55,45.14
POI000026,PO00017,PROD016,66,31.48
POI000027,PO00018,PROD043,181,79.82
POI000028,PO00018,PROD006,159,127.34
POI000029,PO00019,PROD017,207,72.96
POI000030,PO00020,PROD048,198,41.86
POI000031,PO00021,PROD009,204,21.3
POI000032,PO00022,PROD005,172,20.22
POI000033,PO00023,PROD032,59,102.4
POI000034,PO00024,PROD006,216,126.7
POI000035,PO00024,PROD030,144,88.6
POI000036,PO00025,PROD008,100,95.39
POI000037,PO00026,PROD041,99,58.5
POI000038,PO00026,PROD029,212,26.56
POI000039,PO00027,PROD021,134,88.03
POI000040,PO00028,PROD043,141,89.41
POI000041,PO00029,PROD015,181,54.06
POI000042,PO00030,PROD040,171,91.29
POI000043,PO00031,PROD045,118,100.87
POI000044,PO00032,PROD002,126,56.88
POI000045,PO00032,PROD042,157,107.7
POI000046,PO00033,PROD017,94,77.38
POI000047,PO00033,PROD024,172,101.78
POI000048,PO00034,PROD036,179,28.04
POI000049,PO00034,PROD048,42,42.36
POI000050,PO00035,PROD003,47,100.03
POI000051,PO00035,PROD025,60,97.17
POI000052,PO00036,PROD020,186,75.49
POI000053,PO00036,PROD037,172,21.97
POI000054,PO00037,PROD029,150,23.47
POI000055,PO00038,PROD032,73,129.86
POI000056,PO00038,PROD036,146,31.46
POI000057,PO00039,PROD046,209,93.19
POI000058,PO00040,PROD034,181,51.81
POI000059,PO00040,PROD032,149,116.63
POI000060,PO00041,PROD005,46,18.62
POI000061,PO00041,PROD048,125,38.88
POI000062,PO00042,PROD035,117,63.33
POI000063,PO00042,PROD045,134,103.49
POI000064,PO00043,PROD039,128,31.51
POI000065,PO00044,PROD021,100,88.69
POI000066,PO00045,PROD031,219,98.21
POI000067,PO00046,PROD024,69,102.97
POI000068,PO00046,PROD014,115,111.95
POI000069,PO00047,PROD025,48,83.76
POI000070,PO00048,PROD043,154,90.74
POI000071,PO00049,PROD035,135,66.07
POI000072,PO00050,PROD020,110,77.79
POI000073,PO00051,PROD043,95,89.86
POI000074,PO00052,PROD036,157,31.09
POI000075,PO00052,PROD032,202,129.47
POI000076,PO00053,PROD029,67,26.97
POI000077,PO00054,PROD015,131,58.69
POI000078,PO00055,PROD019,49,93.62
POI000079,PO00056,PROD012,48,108.1
POI000080,PO00056,PROD030,58,92.24
POI000081,PO00057,PROD046,193,97.11
POI000082,PO00058,PROD033,219,43.57
POI000083,PO00058,PROD005,179,17.57
POI000084,PO00059,PROD020,105,73.51
POI000085,PO00059,PROD042,103,93.52
POI000086,PO00060,PROD047,199,55.02
POI000087,PO00061,PROD015,193,56.77
POI000088,PO00061,PROD028,83,12.28
POI000089,PO00062,PROD015,86,63.46
POI000090,PO00063,PROD033,47,43.12
POI000091,PO00064,PROD002,201,54.94
POI000092,PO00064,PROD008,165,94.16
POI000093,PO00064,PROD043,128,86.72
POI000094,PO00065,PROD017,135,69.02
POI000095,PO00066,PROD048,173,44.56
POI000096,PO00067,PROD014,148,94.91
POI000097,PO00068,PROD048,59,42.06
POI000098,PO00069,PROD002,201,62.36
POI000099,PO00070,PROD004,132,84.69
POI000100,PO00071,PROD040,188,73.06
POI000101,PO00072,PROD046,160,93.67
POI000102,PO00072,PROD039,164,34.13
POI000103,PO00073,PROD039,109,36.73
POI000104,PO00074,PROD007,169,96.88
POI000105,PO00075,PROD016,49,32.32
POI000106,PO00076,PROD038,142,65.67
POI000107,PO00077,PROD032,66,129.43
POI000108,PO00078,PROD041,78,57.76
POI000109,PO00079,PROD044,183,40.41
POI000110,PO00079,PROD041,40,60.87
POI000111,PO00080,PROD014,207,100.04
POI000112,PO00081,PROD036,99,30.88
POI000113,PO00081,PROD040,69,82.02
POI000114,PO00081,PROD006,44,113.6
POI000115,PO00082,PROD002,82,55.95
POI000116,PO00083,PROD005,150,20.6
POI000117,PO00084,PROD011,59,51.35
POI000118,PO00084,PROD010,193,62.36
POI000119,PO00085,PROD023,114,102.71
POI000120,PO00086,PROD017,174,71.94
POI000121,PO00087,PROD028,128,13.25
POI000122,PO00088,PROD038,107,58.92
POI000123,PO00089,PROD019,135,96.41
POI000124,PO00090,PROD021,207,100.24
POI000125,PO00091,PROD034,40,43.55
POI000126,PO00091,PROD025,139,83.76
POI000127,PO00092,PROD015,125,64.0
POI000128,PO00092,PROD039,134,31.92
POI000129,PO00092,PROD008,101,101.38
POI000130,PO00093,PROD037,170,22.64
POI000131,PO00094,PROD033,75,47.85
POI000132,PO00095,PROD007,144,90.55
POI000133,PO00096,PROD020,197,82.06
POI000134,PO00097,PROD012,185,123.26
POI000135,PO00098,PROD007,219,100.01
POI000136,PO00099,PROD029,142,23.3
POI000137,PO00100,PROD029,165,23.84
POI000138,PO00101,PROD002,88,62.69
POI000139,PO00102,PROD046,131,100.11
POI000140,PO00103,PROD019,215,99.05
POI000141,PO00103,PROD010,93,58.73
POI000142,PO00104,PROD039,174,36.09
POI000143,PO00105,PROD002,57,54.33
POI000144,PO00106,PROD019,193,93.34
POI000145,PO00107,PROD047,86,55.02
POI000146,PO00108,PROD037,79,21.69
POI000147,PO00109,PROD003,193,109.44
POI000148,PO00110,PROD027,212,57.77
POI000149,PO00110,PROD045,197,97.58
POI000150,PO00110,PROD044,125,42.04
POI000151,PO00111,PROD017,91,75.13
POI000152,PO00112,PROD014,161,93.46
POI000153,PO00113,PROD036,191,27.23
POI000154,PO00113,PROD048,208,38.8
POI000155,PO00113,PROD032,125,111.6
POI000156,PO00114,PROD044,104,40.03
POI000157,PO00114,PROD027,134,58.64
POI000158,PO00115,PROD026,75,31.91
POI000159,PO00116,PROD042,98,103.16
POI000160,PO00117,PROD021,183,96.43
POI000161,PO00117,PROD022,195,47.32
POI000162,PO00117,PROD020,160,79.25
POI000163,PO00118,PROD003,139,102.51
POI000164,PO00119,PROD047,206,53.43
POI000165,PO00120,PROD005,205,17.08
POI000166,PO00121,PROD028,123,11.89
POI000167,PO00122,PROD034,66,43.55
POI000168,PO00123,PROD017,61,75.87
POI000169,PO00124,PROD024,203,107.38
POI000170,PO00125,PROD032,209,117.84
POI000171,PO00126,PROD031,134,88.02
POI000172,PO00127,PROD035,54,63.64
POI000173,PO00127,PROD001,218,99.12
POI000174,PO00128,PROD039,61,31.14
POI000175,PO00128,PROD024,40,102.75
POI000176,PO00129,PROD025,167,83.76
POI000177,PO00130,PROD009,213,24.91
POI000178,PO00131,PROD008,190,89.03
POI000179,PO00132,PROD010,82,54.34
POI000180,PO00132,PROD005,103,17.3
POI000181,PO00133,PROD027,158,57.88
POI000182,PO00134,PROD015,118,63.95
POI000183,PO00135,PROD035,208,58.02
POI000184,PO00135,PROD002,187,58.27
POI000185,PO00136,PROD041,57,57.85
POI000186,PO00137,PROD016,201,33.96
POI000187,PO00138,PROD020,212,78.29
POI000188,PO00138,PROD041,147,61.65
POI000189,PO00139,PROD024,174,118.72
POI000190,PO00139,PROD047,171,48.43
POI000191,PO00140,PROD008,99,105.31
POI000192,PO00140,PROD002,135,61.27
POI000193,PO00141,PROD032,66,102.4
POI000194,PO00141,PROD040,110,73.06
POI000195,PO00142,PROD029,52,25.69
POI000196,PO00142,PROD003,83,111.41
POI000197,PO00143,PROD005,42,18.19
POI000198,PO00143,PROD017,118,69.68
POI000199,PO00144,PROD034,42,50.25
POI000200,PO00145,PROD036,52,32.7
POI000201,PO00146,PROD043,80,80.52
POI000202,PO00147,PROD017,160,66.96
POI000203,PO00148,PROD019,93,109.04
POI000204,PO00149,PROD022,191,43.93
POI000205,PO00149,PROD021,78,96.09
POI000206,PO00150,PROD026,73,28.58
POI000207,PO00151,PROD008,83,93.08
POI000208,PO00152,PROD040,154,73.06
POI000209,PO00152,PROD042,87,89.11
POI000210,PO00153,PROD014,69,104.94
POI000211,PO00154,PROD012,137,116.69
POI000212,PO00154,PROD038,95,65.69
POI000213,PO00155,PROD047,69,50.25
POI000214,PO00156,PROD037,85,21.6
POI000215,PO00157,PROD011,125,55.34
POI000216,PO00158,PROD022,181,47.55
POI000217,PO00159,PROD021,210,89.57
POI000218,PO00159,PROD041,44,60.51
POI000219,PO00160,PROD036,195,27.06
POI000220,PO00161,PROD023,84,112.77
POI000221,PO00162,PROD028,51,12.4
POI000222,PO00163,PROD015,188,55.0
POI000223,PO00164,PROD007,51,87.17
POI000224,PO00165,PROD032,70,111.0
POI000225,PO00165,PROD046,124,105.91
POI000226,PO00166,PROD001,93,97.88
POI000227,PO00167,PROD009,152,21.17
POI000228,PO00168,PROD018,120,15.18
POI000229,PO00168,PROD036,118,28.18
POI000230,PO00169,PROD012,123,119.86
POI000231,PO00170,PROD037,172,21.07
POI000232,PO00171,PROD025,116,89.38
POI000233,PO00172,PROD019,167,104.11
POI000234,PO00173,PROD016,75,35.07
POI000235,PO00173,PROD024,98,108.29
POI000236,PO00174,PROD002,176,62.29
POI000237,PO00175,PROD032,59,121.92
POI000238,PO00175,PROD028,134,14.1
POI000239,PO00176,PROD039,144,32.54
POI000240,PO00177,PROD016,135,33.76
POI000241,PO00178,PROD006,43,127.8
POI000242,PO00178,PROD008,58,100.01
POI000243,PO00178,PROD038,67,61.83
POI000244,PO00179,PROD045,94,102.77
POI000245,PO00180,PROD022,48,48.43
POI000246,PO00181,PROD034,143,43.55
POI000247,PO00182,PROD021,133,85.7
POI000248,PO00183,PROD011,130,52.9
POI000249,PO00184,PROD009,170,21.96
