po_id,supplier_id,order_date,expected_delivery_date,status
PO00001,SUP005,2025-02-05,2025-02-22,Approved
PO00002,SUP014,2025-06-06,2025-06-30,Approved
PO00003,SUP006,2025-07-08,2025-07-21,Approved
PO00004,SUP007,2025-07-27,2025-08-06,Approved
PO00005,SUP009,2025-06-02,2025-06-16,Approved
PO00006,SUP007,2025-07-22,2025-08-14,Approved
PO00007,SUP015,2025-03-22,2025-04-02,Approved
PO00008,SUP013,2025-03-18,2025-03-31,Approved
PO00009,SUP014,2025-07-18,2025-07-28,Approved
PO00010,SUP012,2025-08-23,2025-09-14,Approved
PO00011,SUP008,2025-04-20,2025-05-10,Approved
PO00012,SUP011,2025-09-04,2025-09-17,Approved
PO00013,SUP008,2025-03-10,2025-03-19,Approved
PO00014,SUP010,2025-01-10,2025-01-23,Approved
PO00015,SUP013,2025-11-20,2025-11-28,Approved
PO00016,SUP015,2025-09-19,2025-10-09,Approved
PO00017,SUP004,2025-05-09,2025-05-26,Approved
PO00018,SUP012,2025-07-14,2025-08-01,Approved
PO00019,SUP006,2025-12-25,2026-01-12,Approved
PO00020,SUP008,2025-04-17,2025-04-26,Approved
PO00021,SUP014,2025-03-07,2025-03-17,Approved
PO00022,SUP002,2025-11-03,2025-11-19,Approved
PO00023,SUP001,2025-06-18,2025-07-10,Approved
PO00024,SUP012,2025-12-27,2026-01-08,Approved
PO00025,SUP003,2025-03-04,2025-03-15,Approved
PO00026,SUP008,2026-01-20,2026-02-10,Approved
PO00027,SUP008,2025-10-04,2025-10-13,Approved
PO00028,SUP010,2025-03-17,2025-03-27,Approved
PO00029,SUP010,2025-08-10,2025-08-20,Approved
PO00030,SUP013,2025-10-24,2025-11-12,Approved
PO00031,SUP010,2025-02-08,2025-02-25,Approved
PO00032,SUP012,2025-06-12,2025-06-30,Approved
PO00033,SUP006,2025-05-22,2025-05-30,Approved
PO00034,SUP014,2025-07-23,2025-08-14,Approved
PO00035,SUP013,2026-01-04,2026-01-19,Approved
PO00036,SUP009,2025-12-02,2025-12-12,Approved
PO00037,SUP005,2025-08-18,2025-08-27,Approved
PO00038,SUP013,2025-06-17,2025-07-08,Approved
PO00039,SUP007,2025-04-26,2025-05-11,Approved
PO00040,SUP013,2025-03-02,2025-03-17,Approved
PO00041,SUP008,2025-09-28,2025-10-21,Approved
PO00042,SUP007,2025-06-04,2025-06-15,Approved
PO00043,SUP002,2025-08-22,2025-09-05,Approved
PO00044,SUP006,2025-02-04,2025-02-21,Approved
PO00045,SUP009,2025-08-14,2025-08-23,Approved
PO00046,SUP006,2025-12-07,2025-12-22,Approved
PO00047,SUP001,2025-04-20,2025-05-13,Approved
PO00048,SUP008,2026-01-14,2026-02-05,Approved
PO00049,SUP005,2025-08-31,2025-09-16,Approved
PO00050,SUP009,2025-02-17,2025-03-07,Approved
PO00051,SUP012,2025-11-07,2025-11-22,Approved
PO00052,SUP013,2026-03-18,2026-04-07,Approved
PO00053,SUP007,2025-09-06,2025-09-30,Approved
PO00054,SUP010,2025-12-04,2025-12-12,Approved
PO00055,SUP011,2025-12-27,2026-01-04,Approved
PO00056,SUP011,2025-06-27,2025-07-11,Approved
PO00057,SUP007,2025-04-25,2025-05-10,Approved
PO00058,SUP002,2025-07-11,2025-07-28,Approved
PO00059,SUP012,2025-06-04,2025-06-13,Approved
PO00060,SUP006,2025-07-23,2025-08-07,Approved
PO00061,SUP003,2025-12-01,2025-12-14,Approved
PO00062,SUP003,2025-07-17,2025-08-05,Approved
PO00063,SUP002,2025-11-29,2025-12-11,Approved
PO00064,SUP012,2025-01-23,2025-02-01,Approved
PO00065,SUP011,2025-05-30,2025-06-21,Approved
PO00066,SUP014,2025-04-20,2025-05-01,Approved
PO00067,SUP006,2025-01-22,2025-02-01,Approved
PO00068,SUP014,2026-01-03,2026-01-13,Approved
PO00069,SUP006,2025-01-03,2025-01-13,Approved
PO00070,SUP013,2025-05-24,2025-06-04,Approved
PO00071,SUP001,2025-03-16,2025-04-05,Approved
PO00072,SUP002,2026-02-05,2026-02-15,Approved
PO00073,SUP013,2025-01-08,2025-01-25,Approved
PO00074,SUP011,2026-02-01,2026-02-13,Approved
PO00075,SUP012,2025-05-13,2025-05-21,Approved
PO00076,SUP007,2025-08-28,2025-09-17,Approved
PO00077,SUP013,2025-03-14,2025-03-29,Approved
PO00078,SUP007,2026-03-19,2026-03-31,Approved
PO00079,SUP009,2025-11-11,2025-12-03,Approved
