return_id,sale_id,batch_id,product_id,customer_id,return_date,quantity,reason,return_cost
RET0000001,SALE0000028,BAT0000197,PROD039,CUST004,2025-08-09,1,Damaged,49.13
RET0000002,SALE0000030,BAT0000761,PROD040,CUST004,2025-08-09,2,Damaged,100.68
RET0000003,SALE0000035,BAT0001224,PROD046,CUST051,2025-06-16,2,Wrong Product,154.36
RET0000004,SALE0000063,BAT0000585,PROD029,CUST064,2025-09-14,2,Wrong Product,64.37
RET0000005,SALE0000067,BAT0000585,PROD029,CUST030,2025-10-23,3,Damaged,77.39
RET0000006,SALE0000072,BAT0000829,PROD026,CUST079,2026-01-14,2,Quality Issue,70.1
RET0000007,SALE0000107,BAT0000215,PROD006,CUST012,2026-03-30,5,Quality Issue,589.98
RET0000008,SALE0000138,BAT0000189,PROD002,CUST014,2025-12-29,3,Quality Issue,307.62
RET0000009,SALE0000148,BAT0001112,PROD018,CUST097,2025-07-23,3,Quality Issue,40.78
RET0000010,SALE0000150,BAT0000584,PROD001,CUST097,2025-07-29,4,Customer Changed Mind,461.57
RET0000011,SALE0000154,BAT0000829,PROD026,CUST051,2025-07-01,3,Defective,126.28
RET0000012,SALE0000158,BAT0000798,PROD042,CUST082,2025-12-14,2,Defective,276.67
RET0000013,SALE0000163,BAT0000027,PROD041,CUST018,2025-06-14,4,Customer Changed Mind,225.33
RET0000014,SALE0000173,BAT0000189,PROD002,CUST100,2025-04-18,1,Damaged,44.9
RET0000015,SALE0000177,BAT0000370,PROD016,CUST094,2026-06-10,1,Quality Issue,38.1
RET0000016,SALE0000178,BAT0000585,PROD029,CUST094,2026-06-29,1,Wrong Product,33.3
RET0000017,SALE0000190,BAT0000804,PROD025,CUST005,2025-11-03,3,Quality Issue,179.46
RET0000018,SALE0000197,BAT0000798,PROD042,CUST025,2025-10-03,2,Defective,267.48
RET0000019,SALE0000218,BAT0000197,PROD039,CUST092,2025-10-25,4,Wrong Product,106.61
RET0000020,SALE0000224,BAT0000812,PROD038,CUST078,2026-03-11,1,Customer Changed Mind,46.24
RET0000021,SALE0000258,BAT0001170,PROD015,CUST009,2026-02-04,1,Defective,66.49
RET0000022,SALE0000279,BAT0000584,PROD001,CUST078,2026-02-01,2,Customer Changed Mind,242.54
RET0000023,SALE0000309,BAT0000716,PROD033,CUST032,2025-05-26,1,Customer Changed Mind,70.72
RET0000024,SALE0000315,BAT0000753,PROD012,CUST055,2025-10-16,5,Wrong Product,443.66
RET0000025,SALE0000327,BAT0000189,PROD002,CUST051,2026-04-16,1,Quality Issue,87.46
RET0000026,SALE0000338,BAT0000579,PROD027,CUST056,2025-06-03,3,Damaged,289.14
RET0000027,SALE0000339,BAT0001169,PROD028,CUST011,2025-10-10,3,Defective,25.58
RET0000028,SALE0000359,BAT0001211,PROD020,CUST036,2025-09-13,3,Damaged,299.05
RET0000029,SALE0000361,BAT0000189,PROD002,CUST018,2025-06-12,2,Damaged,165.48
RET0000030,SALE0000396,BAT0000824,PROD017,CUST037,2025-12-21,5,Wrong Product,308.22
RET0000031,SALE0000399,BAT0000716,PROD033,CUST057,2026-03-15,2,Damaged,56.08
RET0000032,SALE0000404,BAT0000538,PROD005,CUST036,2025-07-25,4,Wrong Product,50.52
RET0000033,SALE0000405,BAT0000505,PROD030,CUST048,2025-10-30,4,Customer Changed Mind,404.98
RET0000034,SALE0000408,BAT0001131,PROD037,CUST072,2025-06-09,1,Damaged,25.28
RET0000035,SALE0000429,BAT0000494,PROD009,CUST084,2025-11-08,3,Quality Issue,92.85
RET0000036,SALE0000450,BAT0000580,PROD027,CUST086,2025-06-14,1,Quality Issue,71.6
RET0000037,SALE0000478,BAT0000538,PROD005,CUST092,2025-04-28,1,Damaged,14.45
RET0000038,SALE0000485,BAT0000506,PROD048,CUST030,2025-04-22,4,Customer Changed Mind,211.34
RET0000039,SALE0000498,BAT0000586,PROD001,CUST064,2026-03-20,3,Defective,344.05
RET0000040,SALE0000505,BAT0000804,PROD025,CUST090,2026-06-26,3,Customer Changed Mind,221.11
RET0000041,SALE0000518,BAT0000586,PROD001,CUST002,2026-03-24,2,Defective,246.4
RET0000042,SALE0000520,BAT0000197,PROD039,CUST045,2025-05-28,2,Quality Issue,107.65
RET0000043,SALE0000532,BAT0000585,PROD029,CUST029,2025-11-09,1,Wrong Product,17.68
RET0000044,SALE0000538,BAT0000830,PROD026,CUST095,2026-06-14,7,Defective,275.75
RET0000045,SALE0000610,BAT0000430,PROD022,CUST020,2025-07-31,1,Wrong Product,57.82
RET0000046,SALE0000620,BAT0000804,PROD025,CUST016,2025-08-31,1,Customer Changed Mind,147.45
RET0000047,SALE0000644,BAT0000431,PROD022,CUST094,2026-02-24,6,Customer Changed Mind,339.97
RET0000048,SALE0000702,BAT0000133,PROD025,CUST002,2025-12-24,5,Defective,583.16
RET0000049,SALE0000704,BAT0000133,PROD025,CUST060,2026-06-08,1,Customer Changed Mind,78.7
RET0000050,SALE0000717,BAT0000133,PROD025,CUST045,2026-06-12,1,Customer Changed Mind,99.96
RET0000051,SALE0000750,BAT0001157,PROD036,CUST038,2025-09-15,1,Quality Issue,44.42
RET0000052,SALE0000775,BAT0000837,PROD024,CUST080,2025-09-27,7,Quality Issue,1374.11
RET0000053,SALE0000786,BAT0000291,PROD003,CUST046,2025-08-15,2,Customer Changed Mind,279.43
RET0000054,SALE0000787,BAT0000587,PROD029,CUST027,2025-04-20,3,Defective,76.44
RET0000055,SALE0000812,BAT0000588,PROD001,CUST039,2026-03-04,5,Defective,471.43
RET0000056,SALE0000816,BAT0000755,PROD012,CUST091,2025-07-14,2,Customer Changed Mind,220.79
RET0000057,SALE0000817,BAT0000631,PROD046,CUST037,2025-11-24,2,Damaged,124.69
RET0000058,SALE0000859,BAT0000837,PROD024,CUST041,2026-04-17,1,Customer Changed Mind,107.61
RET0000059,SALE0000872,BAT0000027,PROD041,CUST073,2025-11-09,1,Customer Changed Mind,83.62
RET0000060,SALE0000881,BAT0000430,PROD022,CUST036,2026-03-21,3,Damaged,153.24
RET0000061,SALE0000889,BAT0001211,PROD020,CUST008,2026-05-10,1,Quality Issue,110.87
RET0000062,SALE0000893,BAT0001211,PROD020,CUST060,2026-05-04,2,Defective,179.53
RET0000063,SALE0000897,BAT0000587,PROD029,CUST038,2025-08-31,3,Wrong Product,71.02
RET0000064,SALE0000900,BAT0000370,PROD016,CUST045,2025-10-09,6,Damaged,370.69
RET0000065,SALE0000906,BAT0001112,PROD018,CUST057,2025-10-19,1,Wrong Product,12.63
RET0000066,SALE0000924,BAT0000761,PROD040,CUST007,2025-06-09,1,Quality Issue,76.85
RET0000067,SALE0000937,BAT0001211,PROD020,CUST070,2025-04-14,5,Defective,494.43
RET0000068,SALE0000944,BAT0000755,PROD012,CUST044,2025-10-18,2,Quality Issue,218.36
RET0000069,SALE0000968,BAT0001067,PROD027,CUST006,2026-04-30,5,Quality Issue,216.95
RET0000070,SALE0000972,BAT0000760,PROD004,CUST039,2026-03-03,2,Damaged,215.9
RET0000071,SALE0000979,BAT0000886,PROD035,CUST086,2025-07-18,3,Customer Changed Mind,242.04
RET0000072,SALE0001020,BAT0000763,PROD040,CUST032,2026-03-03,2,Damaged,112.99
RET0000073,SALE0001052,BAT0000763,PROD040,CUST024,2025-06-20,3,Defective,219.45
RET0000074,SALE0001065,BAT0000782,PROD013,CUST046,2026-03-31,2,Customer Changed Mind,226.98
RET0000075,SALE0001071,BAT0000760,PROD004,CUST073,2025-07-29,1,Wrong Product,106.45
RET0000076,SALE0001089,BAT0001136,PROD011,CUST047,2025-07-24,3,Defective,184.21
RET0000077,SALE0001096,BAT0001210,PROD020,CUST035,2025-06-22,6,Wrong Product,381.39
RET0000078,SALE0001101,BAT0001136,PROD011,CUST084,2026-02-26,1,Customer Changed Mind,80.29
RET0000079,SALE0001115,BAT0000812,PROD038,CUST026,2026-03-10,5,Customer Changed Mind,275.05
RET0000080,SALE0001140,BAT0000695,PROD031,CUST059,2025-05-11,2,Customer Changed Mind,285.93
RET0000081,SALE0001141,BAT0000695,PROD031,CUST041,2025-05-15,1,Damaged,113.15
RET0000082,SALE0001158,BAT0000851,PROD023,CUST041,2026-06-07,1,Customer Changed Mind,162.68
RET0000083,SALE0001161,BAT0001112,PROD018,CUST016,2026-05-19,2,Quality Issue,24.18
RET0000084,SALE0001162,BAT0000735,PROD006,CUST074,2026-04-16,1,Quality Issue,143.31
RET0000085,SALE0001173,BAT0000755,PROD012,CUST079,2026-07-05,2,Defective,165.45
RET0000086,SALE0001177,BAT0000763,PROD040,CUST083,2025-11-23,2,Wrong Product,187.33
RET0000087,SALE0001201,BAT0001048,PROD044,CUST099,2025-10-26,3,Wrong Product,132.99
RET0000088,SALE0001226,BAT0000370,PROD016,CUST098,2025-12-31,2,Customer Changed Mind,79.71
RET0000089,SALE0001227,BAT0000839,PROD026,CUST029,2025-07-03,1,Quality Issue,42.23
RET0000090,SALE0001288,BAT0000462,PROD024,CUST096,2026-05-19,1,Defective,78.23
RET0000091,SALE0001318,BAT0000716,PROD033,CUST091,2025-12-04,1,Quality Issue,37.75
RET0000092,SALE0001333,BAT0000623,PROD025,CUST048,2025-08-22,2,Wrong Product,251.88
