sale_id,sales_order_item_id,batch_id,customer_id,sale_date,quantity,selling_unit_price,revenue
SALE0000001,SOI0000001,BAT0000956,CUST086,2026-01-29,3,186.98,560.94
SALE0000002,SOI0000002,BAT0000197,CUST086,2026-01-28,6,72.17,433.02
SALE0000003,SOI0000003,BAT0000654,CUST086,2026-01-27,1,89.06,89.06
SALE0000004,SOI0000004,BAT0000506,CUST041,2025-10-09,4,87.44,349.76
SALE0000005,SOI0000005,BAT0000761,CUST041,2025-10-09,5,124.51,622.55
SALE0000006,SOI0000006,BAT0000812,CUST041,2025-10-10,3,92.78,278.34
SALE0000007,SOI0000007,BAT0000122,CUST053,2026-01-21,7,191.49,1340.43
SALE0000008,SOI0000008,BAT0000832,CUST053,2026-01-20,3,129.42,388.26
SALE0000009,SOI0000009,BAT0000831,CUST053,2026-01-21,6,134.68,808.08
SALE0000010,SOI0000010,BAT0000578,CUST039,2025-05-05,4,108.99,435.96
SALE0000011,SOI0000011,BAT0000032,CUST039,2025-05-06,2,154.67,309.34
SALE0000012,SOI0000012,BAT0001328,CUST089,2026-05-13,7,102.18,715.26
SALE0000013,SOI0000013,BAT0001170,CUST089,2026-05-13,2,96.87,193.74
SALE0000014,SOI0000014,BAT0000578,CUST089,2026-05-16,2,121.1,242.2
SALE0000015,SOI0000015,BAT0000506,CUST084,2025-09-27,4,66.67,266.68
SALE0000016,SOI0000016,BAT0000831,CUST097,2025-09-18,1,148.91,148.91
SALE0000017,SOI0000017,BAT0000832,CUST097,2025-09-20,5,145.53,727.65
SALE0000018,SOI0000018,BAT0000798,CUST097,2025-09-18,4,137.45,549.8
SALE0000019,SOI0000019,BAT0000494,CUST062,2025-06-16,2,35.83,71.66
SALE0000020,SOI0000020,BAT0000215,CUST062,2025-06-17,5,156.38,781.9
SALE0000021,SOI0000021,BAT0000695,CUST062,2025-06-16,4,162.42,649.68
SALE0000022,SOI0000022,BAT0000753,CUST073,2026-06-28,6,225.21,1351.26
SALE0000023,SOI0000023,BAT0001132,CUST073,2026-07-01,1,190.49,190.49
SALE0000024,SOI0000024,BAT0000027,CUST063,2025-06-08,1,119.98,119.98
SALE0000025,SOI0000025,BAT0000716,CUST063,2025-06-10,4,55.91,223.64
SALE0000026,SOI0000026,BAT0000215,CUST029,2025-11-08,1,165.83,165.83
SALE0000027,SOI0000027,BAT0000197,CUST007,2025-06-12,6,79.57,477.42
SALE0000028,SOI0000028,BAT0000197,CUST004,2025-07-23,3,63.5,190.5
SALE0000029,SOI0000029,BAT0000291,CUST004,2025-07-24,5,234.41,1172.05
SALE0000030,SOI0000030,BAT0000761,CUST004,2025-07-20,2,110.55,221.1
SALE0000031,SOI0000031,BAT0001169,CUST094,2026-02-09,1,18.91,18.91
SALE0000032,SOI0000032,BAT0001224,CUST013,2025-06-07,4,138.17,552.68
SALE0000033,SOI0000033,BAT0000831,CUST013,2025-06-08,4,210.76,843.04
SALE0000034,SOI0000034,BAT0000291,CUST013,2025-06-08,7,167.24,1170.68
SALE0000035,SOI0000035,BAT0001224,CUST051,2025-06-03,5,132.37,661.85
SALE0000036,SOI0000036,BAT0000759,CUST051,2025-06-02,1,194.82,194.82
SALE0000037,SOI0000037,BAT0000538,CUST074,2026-05-22,3,28.16,84.48
SALE0000038,SOI0000038,BAT0000001,CUST074,2026-05-20,7,110.27,771.89
SALE0000039,SOI0000039,BAT0001224,CUST047,2025-08-26,7,132.18,925.26
SALE0000040,SOI0000040,BAT0001131,CUST047,2025-08-26,6,34.22,205.32
SALE0000041,SOI0000041,BAT0000505,CUST047,2025-08-28,4,148.17,592.68
SALE0000042,SOI0000042,BAT0000824,CUST047,2025-11-05,7,97.22,680.54
SALE0000043,SOI0000043,BAT0001211,CUST047,2025-11-03,5,125.28,626.4
SALE0000044,SOI0000044,BAT0000001,CUST053,2025-07-03,5,78.08,390.4
SALE0000045,SOI0000045,BAT0000824,CUST053,2025-07-06,2,105.76,211.52
SALE0000046,SOI0000046,BAT0000829,CUST053,2025-07-05,4,59.48,237.92
SALE0000047,SOI0000047,BAT0001328,CUST051,2025-08-08,2,103.54,207.08
SALE0000048,SOI0000048,BAT0000538,CUST079,2025-11-06,6,35.97,215.82
SALE0000049,SOI0000049,BAT0001224,CUST079,2025-11-04,3,180.0,540.0
SALE0000050,SOI0000050,BAT0000835,CUST079,2025-11-02,6,217.24,1303.44
SALE0000051,SOI0000051,BAT0000538,CUST002,2026-06-09,5,27.83,139.15
SALE0000052,SOI0000052,BAT0000027,CUST002,2026-06-13,5,109.13,545.65
SALE0000053,SOI0000053,BAT0000460,CUST066,2026-01-30,1,156.13,156.13
SALE0000054,SOI0000054,BAT0000032,CUST066,2026-02-03,2,164.41,328.82
SALE0000055,SOI0000055,BAT0000538,CUST066,2026-01-29,3,37.3,111.9
SALE0000056,SOI0000056,BAT0000538,CUST088,2026-01-11,2,27.19,54.38
SALE0000057,SOI0000057,BAT0000460,CUST083,2026-05-29,2,218.36,436.72
SALE0000058,SOI0000058,BAT0000804,CUST083,2026-05-28,6,174.5,1047.0
SALE0000059,SOI0000059,BAT0000578,CUST083,2026-05-26,4,121.28,485.12
SALE0000060,SOI0000060,BAT0000716,CUST023,2025-07-18,6,65.65,393.9
SALE0000061,SOI0000061,BAT0000460,CUST023,2025-07-20,5,203.97,1019.85
SALE0000062,SOI0000062,BAT0000831,CUST023,2025-07-16,2,172.9,345.8
SALE0000063,SOI0000063,BAT0000585,CUST064,2025-08-17,3,44.9,134.7
SALE0000064,SOI0000064,BAT0000686,CUST064,2025-08-16,5,158.13,790.65
SALE0000065,SOI0000065,BAT0000804,CUST030,2025-10-07,4,176.96,707.84
SALE0000066,SOI0000066,BAT0000824,CUST030,2025-10-08,4,94.71,378.84
SALE0000067,SOI0000067,BAT0000585,CUST030,2025-10-08,4,47.47,189.88
SALE0000068,SOI0000068,BAT0000215,CUST091,2026-05-28,4,195.89,783.56
SALE0000069,SOI0000069,BAT0000032,CUST091,2026-05-28,2,141.8,283.6
SALE0000070,SOI0000070,BAT0001131,CUST093,2025-08-07,4,32.16,128.64
SALE0000071,SOI0000071,BAT0000460,CUST079,2026-01-08,6,145.77,874.62
SALE0000072,SOI0000072,BAT0000829,CUST079,2026-01-07,2,47.73,95.46
SALE0000073,SOI0000073,BAT0000585,CUST056,2025-05-24,2,33.81,67.62
SALE0000074,SOI0000074,BAT0000578,CUST056,2025-05-23,2,111.93,223.86
SALE0000075,SOI0000075,BAT0000886,CUST039,2026-03-30,5,116.39,581.95
SALE0000076,SOI0000076,BAT0000753,CUST015,2026-06-23,2,181.65,363.3
SALE0000077,SOI0000077,BAT0000761,CUST015,2026-06-22,7,116.56,815.92
SALE0000078,SOI0000078,BAT0000197,CUST023,2026-02-16,6,72.9,437.4
SALE0000079,SOI0000079,BAT0001224,CUST023,2026-02-15,1,173.58,173.58
SALE0000080,SOI0000080,BAT0000210,CUST023,2026-02-16,1,156.92,156.92
SALE0000081,SOI0000081,BAT0001169,CUST021,2026-02-14,5,25.36,126.8
SALE0000082,SOI0000082,BAT0000001,CUST021,2026-02-11,5,94.76,473.8
SALE0000083,SOI0000083,BAT0000850,CUST079,2025-12-10,2,230.39,460.78
SALE0000084,SOI0000084,BAT0000819,CUST079,2025-12-10,6,172.67,1036.02
SALE0000085,SOI0000085,BAT0000819,CUST022,2025-09-20,3,162.53,487.59
SALE0000086,SOI0000086,BAT0000695,CUST022,2025-09-19,7,178.5,1249.5
SALE0000087,SOI0000087,BAT0000197,CUST022,2025-09-18,7,76.3,534.1
SALE0000088,SOI0000089,BAT0000460,CUST038,2025-06-25,5,145.3,726.5
SALE0000089,SOI0000090,BAT0000122,CUST025,2026-04-25,1,176.92,176.92
SALE0000090,SOI0000091,BAT0000835,CUST042,2025-05-17,6,167.25,1003.5
SALE0000091,SOI0000092,BAT0000189,CUST042,2025-05-16,6,113.37,680.22
SALE0000092,SOI0000093,BAT0000585,CUST006,2026-06-10,5,49.89,249.45
SALE0000093,SOI0000094,BAT0000753,CUST006,2026-06-09,2,150.86,301.72
SALE0000094,SOI0000095,BAT0000370,CUST006,2026-06-09,3,71.5,214.5
SALE0000095,SOI0000096,BAT0000538,CUST051,2025-05-06,7,28.31,198.17
SALE0000096,SOI0000097,BAT0000460,CUST051,2025-05-03,3,218.99,656.97
SALE0000097,SOI0000098,BAT0000686,CUST051,2025-05-07,2,127.53,255.06
SALE0000098,SOI0000099,BAT0000956,CUST006,2026-05-18,7,149.84,1048.88
SALE0000099,SOI0000100,BAT0001224,CUST006,2026-05-16,7,194.85,1363.95
SALE0000100,SOI0000101,BAT0000832,CUST038,2025-09-11,4,172.81,691.24
SALE0000101,SOI0000102,BAT0000804,CUST038,2025-09-13,2,115.7,231.4
SALE0000102,SOI0000103,BAT0000494,CUST038,2025-09-14,3,31.25,93.75
SALE0000103,SOI0000104,BAT0000001,CUST100,2026-03-10,2,82.32,164.64
SALE0000104,SOI0000105,BAT0000812,CUST058,2026-02-07,2,140.39,280.78
SALE0000105,SOI0000106,BAT0000494,CUST012,2026-03-08,3,41.15,123.45
SALE0000106,SOI0000107,BAT0000819,CUST012,2026-03-08,6,241.53,1449.18
SALE0000107,SOI0000108,BAT0000215,CUST012,2026-03-08,6,174.94,1049.64
SALE0000108,SOI0000109,BAT0000716,CUST051,2025-09-13,7,85.94,601.58
SALE0000109,SOI0000110,BAT0000027,CUST051,2025-09-14,7,97.84,684.88
SALE0000110,SOI0000111,BAT0000506,CUST051,2025-09-18,6,84.19,505.14
SALE0000111,SOI0000112,BAT0000831,CUST049,2026-04-05,6,143.19,859.14
SALE0000112,SOI0000113,BAT0000832,CUST049,2026-04-06,7,143.26,1002.82
SALE0000113,SOI0000114,BAT0000759,CUST049,2026-04-06,5,156.6,783.0
SALE0000114,SOI0000115,BAT0000812,CUST031,2026-04-01,5,116.82,584.1
SALE0000115,SOI0000116,BAT0001048,CUST031,2026-04-02,4,90.83,363.32
SALE0000116,SOI0000117,BAT0000798,CUST011,2025-09-04,6,171.73,1030.38
SALE0000117,SOI0000118,BAT0001328,CUST011,2025-09-03,1,102.82,102.82
SALE0000118,SOI0000119,BAT0001169,CUST011,2025-09-02,3,23.0,69.0
SALE0000119,SOI0000120,BAT0000370,CUST059,2025-09-10,6,50.87,305.22
SALE0000120,SOI0000121,BAT0001048,CUST082,2025-11-16,4,79.37,317.48
SALE0000121,SOI0000122,BAT0001157,CUST023,2025-07-26,5,46.52,232.6
SALE0000122,SOI0000123,BAT0000370,CUST023,2025-07-24,5,71.07,355.35
SALE0000123,SOI0000124,BAT0000460,CUST097,2025-05-15,4,173.91,695.64
SALE0000124,SOI0000125,BAT0000032,CUST097,2025-05-17,5,175.48,877.4
SALE0000125,SOI0000126,BAT0001169,CUST097,2025-05-20,4,20.8,83.2
SALE0000126,SOI0000127,BAT0000812,CUST053,2026-06-14,5,89.8,449.0
SALE0000127,SOI0000128,BAT0001132,CUST053,2026-06-10,7,190.76,1335.32
SALE0000128,SOI0000129,BAT0001157,CUST053,2026-06-11,5,44.57,222.85
SALE0000129,SOI0000130,BAT0000832,CUST090,2025-12-09,1,157.88,157.88
SALE0000130,SOI0000131,BAT0000538,CUST090,2025-12-09,5,34.13,170.65
SALE0000131,SOI0000132,BAT0000685,CUST045,2026-04-12,2,80.68,161.36
SALE0000132,SOI0000133,BAT0000585,CUST023,2025-10-31,1,45.37,45.37
SALE0000133,SOI0000134,BAT0001170,CUST044,2025-11-07,5,90.04,450.2
SALE0000134,SOI0000135,BAT0000753,CUST090,2025-11-15,5,145.65,728.25
SALE0000135,SOI0000136,BAT0000686,CUST090,2025-11-12,4,177.75,711.0
SALE0000136,SOI0000137,BAT0001170,CUST090,2025-11-16,1,99.81,99.81
SALE0000137,SOI0000138,BAT0000798,CUST014,2025-12-27,1,129.13,129.13
SALE0000138,SOI0000139,BAT0000189,CUST014,2025-12-26,4,128.35,513.4
SALE0000139,SOI0000140,BAT0000189,CUST081,2025-06-06,4,117.87,471.48
SALE0000140,SOI0000141,BAT0000695,CUST081,2025-06-06,5,213.25,1066.25
SALE0000141,SOI0000142,BAT0000761,CUST081,2025-06-06,1,115.56,115.56
SALE0000142,SOI0000143,BAT0000685,CUST045,2025-12-14,5,105.57,527.85
SALE0000143,SOI0000144,BAT0000829,CUST045,2025-12-12,6,37.95,227.7
SALE0000144,SOI0000145,BAT0000505,CUST030,2026-04-09,3,182.87,548.61
SALE0000145,SOI0000146,BAT0000850,CUST052,2025-06-18,7,253.8,1776.6
SALE0000146,SOI0000147,BAT0000506,CUST052,2025-06-19,6,65.1,390.6
