sales_order_item_id,sales_order_id,product_id
SOI0000001,SO000001,PROD013
SOI0000002,SO000001,PROD039
SOI0000003,SO000001,PROD010
SOI0000004,SO000002,PROD048
SOI0000005,SO000002,PROD040
SOI0000006,SO000002,PROD038
SOI0000007,SO000003,PROD021
SOI0000008,SO000003,PROD043
SOI0000009,SO000003,PROD008
SOI0000010,SO000004,PROD027
SOI0000011,SO000004,PROD045
SOI0000012,SO000005,PROD034
SOI0000013,SO000005,PROD015
SOI0000014,SO000005,PROD027
SOI0000015,SO000006,PROD048
SOI0000016,SO000007,PROD008
SOI0000017,SO000007,PROD043
SOI0000018,SO000007,PROD042
SOI0000019,SO000008,PROD009
SOI0000020,SO000008,PROD006
SOI0000021,SO000008,PROD031
SOI0000022,SO000009,PROD012
SOI0000023,SO000009,PROD031
SOI0000024,SO000010,PROD041
SOI0000025,SO000010,PROD033
SOI0000026,SO000011,PROD006
SOI0000027,SO000012,PROD039
SOI0000028,SO000013,PROD039
SOI0000029,SO000013,PROD003
SOI0000030,SO000013,PROD040
SOI0000031,SO000014,PROD028
SOI0000032,SO000015,PROD046
SOI0000033,SO000015,PROD008
SOI0000034,SO000015,PROD003
SOI0000035,SO000016,PROD046
SOI0000036,SO000016,PROD004
SOI0000037,SO000017,PROD005
SOI0000038,SO000017,PROD047
SOI0000039,SO000018,PROD046
SOI0000040,SO000018,PROD037
SOI0000041,SO000018,PROD030
SOI0000042,SO000019,PROD017
SOI0000043,SO000019,PROD020
SOI0000044,SO000020,PROD047
SOI0000045,SO000020,PROD017
SOI0000046,SO000020,PROD026
SOI0000047,SO000021,PROD034
SOI0000048,SO000022,PROD005
SOI0000049,SO000022,PROD046
SOI0000050,SO000022,PROD024
SOI0000051,SO000023,PROD005
SOI0000052,SO000023,PROD041
SOI0000053,SO000024,PROD019
SOI0000054,SO000024,PROD045
SOI0000055,SO000024,PROD005
SOI0000056,SO000025,PROD005
SOI0000057,SO000026,PROD019
SOI0000058,SO000026,PROD025
SOI0000059,SO000026,PROD027
SOI0000060,SO000027,PROD033
SOI0000061,SO000027,PROD019
SOI0000062,SO000027,PROD008
SOI0000063,SO000028,PROD029
SOI0000064,SO000028,PROD007
SOI0000065,SO000029,PROD025
SOI0000066,SO000029,PROD017
SOI0000067,SO000029,PROD029
SOI0000068,SO000030,PROD006
SOI0000069,SO000030,PROD045
SOI0000070,SO000031,PROD037
SOI0000071,SO000032,PROD019
SOI0000072,SO000032,PROD026
SOI0000073,SO000033,PROD029
SOI0000074,SO000033,PROD027
SOI0000075,SO000034,PROD035
SOI0000076,SO000035,PROD012
SOI0000077,SO000035,PROD040
SOI0000078,SO000036,PROD039
SOI0000079,SO000036,PROD046
SOI0000080,SO000036,PROD014
SOI0000081,SO000037,PROD028
SOI0000082,SO000037,PROD047
SOI0000083,SO000038,PROD023
SOI0000084,SO000038,PROD032
SOI0000085,SO000039,PROD032
SOI0000086,SO000039,PROD031
SOI0000087,SO000039,PROD039
SOI0000088,SO000040,PROD018
SOI0000089,SO000041,PROD019
SOI0000090,SO000042,PROD021
SOI0000091,SO000043,PROD024
SOI0000092,SO000043,PROD002
SOI0000093,SO000044,PROD029
SOI0000094,SO000044,PROD012
SOI0000095,SO000044,PROD016
SOI0000096,SO000045,PROD005
SOI0000097,SO000045,PROD019
SOI0000098,SO000045,PROD007
SOI0000099,SO000046,PROD013
SOI0000100,SO000046,PROD046
SOI0000101,SO000047,PROD043
SOI0000102,SO000047,PROD025
SOI0000103,SO000047,PROD009
SOI0000104,SO000048,PROD047
SOI0000105,SO000049,PROD038
SOI0000106,SO000050,PROD009
SOI0000107,SO000050,PROD032
SOI0000108,SO000050,PROD006
SOI0000109,SO000051,PROD033
SOI0000110,SO000051,PROD041
SOI0000111,SO000051,PROD048
SOI0000112,SO000052,PROD008
SOI0000113,SO000052,PROD043
SOI0000114,SO000052,PROD004
SOI0000115,SO000053,PROD038
SOI0000116,SO000053,PROD044
SOI0000117,SO000054,PROD042
SOI0000118,SO000054,PROD034
SOI0000119,SO000054,PROD028
SOI0000120,SO000055,PROD016
SOI0000121,SO000056,PROD044
SOI0000122,SO000057,PROD036
SOI0000123,SO000057,PROD016
SOI0000124,SO000058,PROD019
SOI0000125,SO000058,PROD045
SOI0000126,SO000058,PROD028
SOI0000127,SO000059,PROD038
SOI0000128,SO000059,PROD031
SOI0000129,SO000059,PROD036
SOI0000130,SO000060,PROD043
SOI0000131,SO000060,PROD005
SOI0000132,SO000061,PROD011
SOI0000133,SO000062,PROD029
SOI0000134,SO000063,PROD015
SOI0000135,SO000064,PROD012
SOI0000136,SO000064,PROD007
SOI0000137,SO000064,PROD015
SOI0000138,SO000065,PROD042
SOI0000139,SO000065,PROD002
SOI0000140,SO000066,PROD002
SOI0000141,SO000066,PROD031
SOI0000142,SO000066,PROD040
SOI0000143,SO000067,PROD011
SOI0000144,SO000067,PROD026
SOI0000145,SO000068,PROD030
SOI0000146,SO000069,PROD023
SOI0000147,SO000069,PROD048
SOI0000148,SO000070,PROD017
SOI0000149,SO000071,PROD018
SOI0000150,SO000071,PROD024
SOI0000151,SO000071,PROD001
SOI0000152,SO000072,PROD036
SOI0000153,SO000072,PROD046
SOI0000154,SO000072,PROD047
SOI0000155,SO000073,PROD026
SOI0000156,SO000074,PROD032
SOI0000157,SO000075,PROD012
SOI0000158,SO000076,PROD046
SOI0000159,SO000076,PROD042
SOI0000160,SO000077,PROD015
SOI0000161,SO000077,PROD046
SOI0000162,SO000078,PROD011
SOI0000163,SO000079,PROD043
SOI0000164,SO000079,PROD041
SOI0000165,SO000080,PROD035
SOI0000166,SO000081,PROD033
SOI0000167,SO000081,PROD001
SOI0000168,SO000082,PROD012
SOI0000169,SO000082,PROD015
SOI0000170,SO000083,PROD012
SOI0000171,SO000083,PROD004
SOI0000172,SO000084,PROD037
SOI0000173,SO000084,PROD017
SOI0000174,SO000084,PROD002
SOI0000175,SO000085,PROD028
SOI0000176,SO000085,PROD047
SOI0000177,SO000086,PROD026
SOI0000178,SO000086,PROD016
SOI0000179,SO000086,PROD029
SOI0000180,SO000087,PROD022
SOI0000181,SO000088,PROD035
SOI0000182,SO000088,PROD012
SOI0000183,SO000088,PROD027
SOI0000184,SO000089,PROD009
SOI0000185,SO000090,PROD026
SOI0000186,SO000090,PROD003
SOI0000187,SO000090,PROD008
SOI0000188,SO000091,PROD036
SOI0000189,SO000092,PROD010
SOI0000190,SO000092,PROD011
SOI0000191,SO000092,PROD025
SOI0000192,SO000093,PROD047
SOI0000193,SO000094,PROD002
SOI0000194,SO000094,PROD031
SOI0000195,SO000094,PROD022
SOI0000196,SO000095,PROD041
SOI0000197,SO000095,PROD018
SOI0000198,SO000095,PROD042
SOI0000199,SO000096,PROD043
SOI0000200,SO000097,PROD030
SOI0000201,SO000097,PROD034
SOI0000202,SO000097,PROD047
SOI0000203,SO000098,PROD034
SOI0000204,SO000098,PROD044
SOI0000205,SO000099,PROD040
SOI0000206,SO000099,PROD003
SOI0000207,SO000099,PROD035
SOI0000208,SO000100,PROD033
SOI0000209,SO000100,PROD024
SOI0000210,SO000101,PROD010
SOI0000211,SO000102,PROD043
SOI0000212,SO000102,PROD005
SOI0000213,SO000102,PROD006
SOI0000214,SO000103,PROD030
SOI0000215,SO000103,PROD002
