sales_order_id,customer_id,order_date,sales_channel
SO000001,CUST086,2026-01-25,Retail Store
SO000002,CUST041,2025-10-04,Marketplace
SO000003,CUST053,2026-01-16,Marketplace
SO000004,CUST039,2025-05-01,Marketplace
SO000005,CUST089,2026-05-12,B2B Direct
SO000006,CUST084,2025-09-22,Marketplace
SO000007,CUST097,2025-09-16,Online
SO000008,CUST062,2025-06-13,Online
SO000009,CUST073,2026-06-24,Marketplace
SO000010,CUST063,2025-06-06,Marketplace
SO000011,CUST029,2025-11-01,Retail Store
SO000012,CUST007,2025-06-09,Retail Store
SO000013,CUST004,2025-07-19,B2B Direct
SO000014,CUST094,2026-02-03,B2B Direct
SO000015,CUST013,2025-06-04,Marketplace
SO000016,CUST051,2025-05-28,Marketplace
SO000017,CUST074,2026-05-16,Online
SO000018,CUST047,2025-08-24,Online
SO000019,CUST047,2025-11-01,Marketplace
SO000020,CUST053,2025-07-01,Retail Store
SO000021,CUST051,2025-08-05,B2B Direct
SO000022,CUST079,2025-11-01,B2B Direct
SO000023,CUST002,2026-06-07,Marketplace
SO000024,CUST066,2026-01-27,B2B Direct
SO000025,CUST088,2026-01-08,Online
SO000026,CUST083,2026-05-25,Marketplace
SO000027,CUST023,2025-07-13,Online
SO000028,CUST064,2025-08-11,Retail Store
SO000029,CUST030,2025-10-04,B2B Direct
SO000030,CUST091,2026-05-22,Marketplace
SO000031,CUST093,2025-08-03,Marketplace
SO000032,CUST079,2026-01-02,B2B Direct
SO000033,CUST056,2025-05-21,Online
SO000034,CUST039,2026-03-25,Retail Store
SO000035,CUST015,2026-06-20,Online
SO000036,CUST023,2026-02-12,Marketplace
SO000037,CUST021,2026-02-08,B2B Direct
SO000038,CUST079,2025-12-04,B2B Direct
SO000039,CUST022,2025-09-15,B2B Direct
SO000040,CUST056,2025-04-03,Retail Store
SO000041,CUST038,2025-06-18,Retail Store
SO000042,CUST025,2026-04-20,Marketplace
SO000043,CUST042,2025-05-11,Online
SO000044,CUST006,2026-06-08,Online
SO000045,CUST051,2025-05-01,Online
SO000046,CUST006,2026-05-14,Retail Store
SO000047,CUST038,2025-09-10,B2B Direct
SO000048,CUST100,2026-03-05,Marketplace
SO000049,CUST058,2026-02-01,Marketplace
SO000050,CUST012,2026-03-02,Retail Store
SO000051,CUST051,2025-09-11,Retail Store
SO000052,CUST049,2026-04-02,B2B Direct
SO000053,CUST031,2026-03-26,B2B Direct
SO000054,CUST011,2025-08-30,Retail Store
SO000055,CUST059,2025-09-05,Marketplace
SO000056,CUST082,2025-11-10,B2B Direct
SO000057,CUST023,2025-07-21,B2B Direct
SO000058,CUST097,2025-05-14,Marketplace
SO000059,CUST053,2026-06-07,B2B Direct
SO000060,CUST090,2025-12-06,Marketplace
SO000061,CUST045,2026-04-07,Online
SO000062,CUST023,2025-10-30,B2B Direct
SO000063,CUST044,2025-11-02,B2B Direct
SO000064,CUST090,2025-11-09,Online
SO000065,CUST014,2025-12-21,Marketplace
SO000066,CUST081,2025-06-02,B2B Direct
SO000067,CUST045,2025-12-08,Online
SO000068,CUST030,2026-04-05,Marketplace
SO000069,CUST052,2025-06-16,B2B Direct
SO000070,CUST073,2025-07-22,Retail Store
SO000071,CUST097,2025-07-12,Online
SO000072,CUST074,2025-10-11,Retail Store
SO000073,CUST051,2025-06-01,Marketplace
SO000074,CUST013,2025-11-27,Retail Store
SO000075,CUST080,2026-04-11,Online
SO000076,CUST082,2025-11-12,Online
SO000077,CUST045,2026-02-04,Online
SO000078,CUST034,2026-04-23,Marketplace
SO000079,CUST018,2025-06-04,B2B Direct
SO000080,CUST002,2026-02-18,Retail Store
SO000081,CUST053,2026-04-06,Marketplace
SO000082,CUST069,2026-04-27,Retail Store
SO000083,CUST058,2025-04-10,Marketplace
SO000084,CUST100,2025-04-03,Marketplace
SO000085,CUST050,2026-01-22,Retail Store
SO000086,CUST094,2026-06-04,Retail Store
SO000087,CUST027,2025-05-01,Marketplace
SO000088,CUST035,2025-12-14,Marketplace
SO000089,CUST085,2025-10-10,B2B Direct
SO000090,CUST094,2026-01-13,Retail Store
SO000091,CUST012,2025-11-02,Marketplace
SO000092,CUST005,2025-10-03,B2B Direct
SO000093,CUST004,2025-05-17,B2B Direct
SO000094,CUST012,2026-02-21,B2B Direct
SO000095,CUST025,2025-09-26,Marketplace
SO000096,CUST008,2025-04-02,Retail Store
SO000097,CUST082,2025-08-04,B2B Direct
SO000098,CUST007,2025-10-10,B2B Direct
SO000099,CUST018,2025-11-24,Retail Store
SO000100,CUST063,2025-05-19,B2B Direct
SO000101,CUST005,2025-11-08,B2B Direct
SO000102,CUST091,2026-01-30,Retail Store
SO000103,CUST044,2025-11-29,Marketplace
SO000104,CUST049,2025-06-09,B2B Direct
SO000105,CUST092,2025-10-13,Marketplace
SO000106,CUST011,2025-11-14,B2B Direct
SO000107,CUST050,2026-06-08,B2B Direct
SO000108,CUST076,2025-08-11,Online
SO000109,CUST078,2026-02-11,Marketplace
SO000110,CUST047,2025-10-25,B2B Direct
SO000111,CUST076,2026-01-21,Retail Store
SO000112,CUST031,2025-12-09,B2B Direct
SO000113,CUST057,2026-04-21,Online
SO000114,CUST015,2025-11-11,B2B Direct
SO000115,CUST005,2026-02-14,Online
SO000116,CUST062,2025-04-30,B2B Direct
SO000117,CUST031,2025-12-30,Marketplace
SO000118,CUST040,2025-07-30,B2B Direct
SO000119,CUST087,2025-11-24,Marketplace
SO000120,CUST098,2026-02-04,Retail Store
SO000121,CUST063,2025-09-05,Retail Store
SO000122,CUST031,2025-11-15,B2B Direct
SO000123,CUST086,2026-05-11,B2B Direct
SO000124,CUST100,2025-08-23,Retail Store
SO000125,CUST079,2026-01-22,Online
SO000126,CUST051,2025-09-25,Retail Store
SO000127,CUST014,2026-01-07,Retail Store
SO000128,CUST055,2026-04-02,Online
SO000129,CUST009,2026-01-12,Retail Store
SO000130,CUST050,2026-01-02,Online
SO000131,CUST083,2025-10-28,Online
SO000132,CUST022,2025-11-15,Marketplace
SO000133,CUST017,2026-03-27,B2B Direct
SO000134,CUST055,2025-11-07,Marketplace
SO000135,CUST076,2025-09-09,Online
SO000136,CUST077,2026-06-04,Retail Store
SO000137,CUST012,2025-04-04,Online
SO000138,CUST078,2025-10-08,Retail Store
SO000139,CUST078,2026-01-20,Marketplace
SO000140,CUST070,2025-05-01,Marketplace
SO000141,CUST032,2026-04-30,Retail Store
SO000142,CUST026,2026-05-13,B2B Direct
SO000143,CUST071,2025-06-04,B2B Direct
SO000144,CUST040,2025-10-19,B2B Direct
SO000145,CUST052,2025-04-20,Online
SO000146,CUST011,2025-06-05,Online
SO000147,CUST046,2025-12-26,Retail Store
SO000148,CUST046,2026-05-10,Online
SO000149,CUST032,2025-09-06,Retail Store
SO000150,CUST030,2025-11-18,Marketplace
SO000151,CUST044,2025-07-30,Retail Store
SO000152,CUST032,2025-05-18,Online
SO000153,CUST084,2025-10-03,Marketplace
SO000154,CUST055,2025-09-17,Retail Store
SO000155,CUST016,2026-04-04,Online
SO000156,CUST052,2025-08-09,Online
SO000157,CUST083,2025-08-25,B2B Direct
