supplier_id,product_id
SUP004,PROD001
SUP008,PROD001
SUP007,PROD001
SUP012,PROD002
SUP005,PROD002
SUP006,PROD002
SUP013,PROD003
SUP005,PROD003
SUP002,PROD003
SUP013,PROD004
SUP001,PROD004
SUP007,PROD004
SUP006,PROD005
SUP002,PROD005
SUP008,PROD005
SUP012,PROD006
SUP014,PROD006
SUP007,PROD006
SUP009,PROD007
SUP006,PROD007
SUP011,PROD007
SUP007,PROD008
SUP012,PROD008
SUP003,PROD008
SUP014,PROD009
SUP008,PROD009
SUP011,PROD009
SUP004,PROD010
SUP008,PROD010
SUP013,PROD010
SUP009,PROD011
SUP004,PROD011
SUP015,PROD011
SUP013,PROD012
SUP011,PROD012
SUP009,PROD012
SUP008,PROD013
SUP013,PROD013
SUP012,PROD013
SUP006,PROD014
SUP004,PROD014
SUP014,PROD014
SUP015,PROD015
SUP003,PROD015
SUP010,PROD015
SUP012,PROD016
SUP013,PROD016
SUP004,PROD016
SUP011,PROD017
SUP004,PROD017
SUP006,PROD017
SUP007,PROD018
SUP012,PROD018
SUP014,PROD018
SUP010,PROD019
SUP008,PROD019
SUP011,PROD019
SUP015,PROD020
SUP012,PROD020
SUP009,PROD020
SUP015,PROD021
SUP006,PROD021
SUP008,PROD021
SUP008,PROD022
SUP015,PROD022
SUP003,PROD022
SUP012,PROD023
SUP005,PROD023
SUP001,PROD023
SUP006,PROD024
SUP013,PROD024
SUP009,PROD024
SUP014,PROD025
SUP013,PROD025
SUP001,PROD025
SUP009,PROD026
SUP011,PROD026
SUP008,PROD026
SUP011,PROD027
SUP007,PROD027
SUP005,PROD027
SUP015,PROD028
SUP003,PROD028
SUP013,PROD028
SUP005,PROD029
SUP008,PROD029
SUP007,PROD029
SUP001,PROD030
SUP011,PROD030
SUP012,PROD030
SUP009,PROD031
SUP005,PROD031
SUP013,PROD031
SUP005,PROD032
SUP013,PROD032
SUP001,PROD032
SUP001,PROD033
SUP014,PROD033
SUP002,PROD033
SUP013,PROD034
SUP001,PROD034
SUP015,PROD034
SUP007,PROD035
SUP005,PROD035
SUP003,PROD035
SUP012,PROD036
SUP013,PROD036
SUP014,PROD036
SUP002,PROD037
SUP009,PROD037
SUP008,PROD037
SUP013,PROD038
SUP007,PROD038
SUP014,PROD038
SUP003,PROD039
SUP013,PROD039
SUP002,PROD039
SUP001,PROD040
SUP013,PROD040
SUP014,PROD040
SUP008,PROD041
SUP009,PROD041
SUP007,PROD041
SUP010,PROD042
SUP012,PROD042
SUP001,PROD042
SUP010,PROD043
SUP008,PROD043
SUP012,PROD043
SUP006,PROD044
SUP009,PROD044
SUP007,PROD044
SUP010,PROD045
SUP009,PROD045
SUP007,PROD045
SUP002,PROD046
SUP007,PROD046
SUP013,PROD046
SUP005,PROD047
SUP006,PROD047
SUP003,PROD047
SUP008,PROD048
SUP014,PROD048
SUP013,PROD048
